Organism,Country,Total_Years,Valid_Years,Reason
Klebsiella pneumoniae,Austria,9,0,Fewer than 8 valid data points
Klebsiella pneumoniae,Bulgaria,7,1,Fewer than 8 valid data points
Klebsiella pneumoniae,Cameroon,4,1,Fewer than 8 valid data points
Klebsiella pneumoniae,Costa Rica,7,0,Fewer than 8 valid data points
Klebsiella pneumoniae,Dominican Republic,5,0,Fewer than 8 valid data points
Klebsiella pneumoniae,Egypt,1,0,Fewer than 8 valid data points
Klebsiella pneumoniae,El Salvador,2,0,Fewer than 8 valid data points
Klebsiella pneumoniae,Finland,3,0,Fewer than 8 valid data points
Klebsiella pneumoniae,Ghana,1,0,Fewer than 8 valid data points
Klebsiella pneumoniae,Guatemala,12,0,Fewer than 8 valid data points
Klebsiella pneumoniae,Honduras,3,0,Fewer than 8 valid data points
Klebsiella pneumoniae,Hong Kong,10,5,Fewer than 8 valid data points
Klebsiella pneumoniae,Ivory Coast,5,3,Fewer than 8 valid data points
Klebsiella pneumoniae,Jamaica,1,0,Fewer than 8 valid data points
Klebsiella pneumoniae,Japan,11,4,Fewer than 8 valid data points
Klebsiella pneumoniae,Jordan,12,0,Fewer than 8 valid data points
Klebsiella pneumoniae,Kenya,3,0,Fewer than 8 valid data points
Klebsiella pneumoniae,Kuwait,12,7,Fewer than 8 valid data points
Klebsiella pneumoniae,Latvia,7,2,Fewer than 8 valid data points
Klebsiella pneumoniae,Lithuania,10,6,Fewer than 8 valid data points
Klebsiella pneumoniae,Malawi,3,1,Fewer than 8 valid data points
Klebsiella pneumoniae,Malaysia,13,5,Fewer than 8 valid data points
Klebsiella pneumoniae,Mauritius,1,0,Fewer than 8 valid data points
Klebsiella pneumoniae,Morocco,12,6,Fewer than 8 valid data points
Klebsiella pneumoniae,Netherlands,16,0,Fewer than 8 valid data points
Klebsiella pneumoniae,New Zealand,6,5,Fewer than 8 valid data points
Klebsiella pneumoniae,Nigeria,8,6,Fewer than 8 valid data points
Klebsiella pneumoniae,Pakistan,4,0,Fewer than 8 valid data points
Klebsiella pneumoniae,Panama,13,5,Fewer than 8 valid data points
Klebsiella pneumoniae,Philippines,14,2,Fewer than 8 valid data points
Klebsiella pneumoniae,Puerto Rico,1,0,Fewer than 8 valid data points
Klebsiella pneumoniae,Qatar,6,0,Fewer than 8 valid data points
Klebsiella pneumoniae,Russia,5,2,Fewer than 8 valid data points
Klebsiella pneumoniae,Saudi Arabia,10,2,Fewer than 8 valid data points
Klebsiella pneumoniae,Serbia,1,0,Fewer than 8 valid data points
Klebsiella pneumoniae,Singapore,9,4,Fewer than 8 valid data points
Klebsiella pneumoniae,Slovak Republic,4,0,Fewer than 8 valid data points
Klebsiella pneumoniae,Slovenia,10,1,Fewer than 8 valid data points
Klebsiella pneumoniae,South Africa,14,7,Fewer than 8 valid data points
Klebsiella pneumoniae,Sweden,17,5,Fewer than 8 valid data points
Klebsiella pneumoniae,Switzerland,19,4,Fewer than 8 valid data points
Klebsiella pneumoniae,Thailand,12,5,Fewer than 8 valid data points
Klebsiella pneumoniae,Tunisia,2,0,Fewer than 8 valid data points
Klebsiella pneumoniae,Uganda,3,0,Fewer than 8 valid data points
Klebsiella pneumoniae,Ukraine,7,3,Fewer than 8 valid data points
Klebsiella pneumoniae,Venezuela,17,4,Fewer than 8 valid data points
Klebsiella pneumoniae,Vietnam,1,0,Fewer than 8 valid data points
Acinetobacter baumannii,Argentina,18,4,Fewer than 8 valid data points
Acinetobacter baumannii,Australia,13,0,Fewer than 8 valid data points
Acinetobacter baumannii,Austria,1,0,Fewer than 8 valid data points
Acinetobacter baumannii,Belgium,15,0,Fewer than 8 valid data points
Acinetobacter baumannii,Brazil,16,7,Fewer than 8 valid data points
Acinetobacter baumannii,Bulgaria,6,0,Fewer than 8 valid data points
Acinetobacter baumannii,Cameroon,1,0,Fewer than 8 valid data points
Acinetobacter baumannii,Canada,19,2,Fewer than 8 valid data points
Acinetobacter baumannii,Chile,14,0,Fewer than 8 valid data points
Acinetobacter baumannii,China,12,5,Fewer than 8 valid data points
Acinetobacter baumannii,Colombia,12,4,Fewer than 8 valid data points
Acinetobacter baumannii,Costa Rica,2,0,Fewer than 8 valid data points
Acinetobacter baumannii,Czech Republic,12,0,Fewer than 8 valid data points
Acinetobacter baumannii,Denmark,10,0,Fewer than 8 valid data points
Acinetobacter baumannii,Dominican Republic,1,0,Fewer than 8 valid data points
Acinetobacter baumannii,Germany,15,2,Fewer than 8 valid data points
Acinetobacter baumannii,Greece,18,6,Fewer than 8 valid data points
Acinetobacter baumannii,Guatemala,9,0,Fewer than 8 valid data points
Acinetobacter baumannii,Honduras,2,0,Fewer than 8 valid data points
Acinetobacter baumannii,Hong Kong,8,1,Fewer than 8 valid data points
Acinetobacter baumannii,Hungary,15,1,Fewer than 8 valid data points
Acinetobacter baumannii,India,12,6,Fewer than 8 valid data points
Acinetobacter baumannii,Indonesia,1,0,Fewer than 8 valid data points
Acinetobacter baumannii,Ireland,9,0,Fewer than 8 valid data points
Acinetobacter baumannii,Israel,15,4,Fewer than 8 valid data points
Acinetobacter baumannii,Ivory Coast,5,0,Fewer than 8 valid data points
Acinetobacter baumannii,Jamaica,1,0,Fewer than 8 valid data points
Acinetobacter baumannii,Japan,7,0,Fewer than 8 valid data points
Acinetobacter baumannii,Jordan,10,0,Fewer than 8 valid data points
Acinetobacter baumannii,Kenya,2,0,Fewer than 8 valid data points
Acinetobacter baumannii,"Korea, South",15,2,Fewer than 8 valid data points
Acinetobacter baumannii,Kuwait,12,2,Fewer than 8 valid data points
Acinetobacter baumannii,Latvia,7,0,Fewer than 8 valid data points
Acinetobacter baumannii,Lithuania,11,1,Fewer than 8 valid data points
Acinetobacter baumannii,Malawi,3,0,Fewer than 8 valid data points
Acinetobacter baumannii,Malaysia,12,0,Fewer than 8 valid data points
Acinetobacter baumannii,Mauritius,1,0,Fewer than 8 valid data points
Acinetobacter baumannii,Mexico,18,4,Fewer than 8 valid data points
Acinetobacter baumannii,Morocco,11,1,Fewer than 8 valid data points
Acinetobacter baumannii,Netherlands,4,0,Fewer than 8 valid data points
Acinetobacter baumannii,New Zealand,2,0,Fewer than 8 valid data points
Acinetobacter baumannii,Nicaragua,1,0,Fewer than 8 valid data points
Acinetobacter baumannii,Nigeria,6,0,Fewer than 8 valid data points
Acinetobacter baumannii,Oman,1,0,Fewer than 8 valid data points
Acinetobacter baumannii,Pakistan,5,0,Fewer than 8 valid data points
Acinetobacter baumannii,Panama,10,0,Fewer than 8 valid data points
Acinetobacter baumannii,Philippines,13,0,Fewer than 8 valid data points
Acinetobacter baumannii,Poland,16,2,Fewer than 8 valid data points
Acinetobacter baumannii,Portugal,16,0,Fewer than 8 valid data points
Acinetobacter baumannii,Puerto Rico,1,0,Fewer than 8 valid data points
Acinetobacter baumannii,Qatar,5,0,Fewer than 8 valid data points
Acinetobacter baumannii,Romania,13,3,Fewer than 8 valid data points
Acinetobacter baumannii,Russia,5,2,Fewer than 8 valid data points
Acinetobacter baumannii,Saudi Arabia,9,2,Fewer than 8 valid data points
Acinetobacter baumannii,Serbia,1,0,Fewer than 8 valid data points
Acinetobacter baumannii,Singapore,7,0,Fewer than 8 valid data points
Acinetobacter baumannii,Slovak Republic,1,0,Fewer than 8 valid data points
Acinetobacter baumannii,Slovenia,5,0,Fewer than 8 valid data points
Acinetobacter baumannii,South Africa,12,3,Fewer than 8 valid data points
Acinetobacter baumannii,Sweden,6,0,Fewer than 8 valid data points
Acinetobacter baumannii,Switzerland,7,0,Fewer than 8 valid data points
Acinetobacter baumannii,Taiwan,11,4,Fewer than 8 valid data points
Acinetobacter baumannii,Thailand,8,2,Fewer than 8 valid data points
Acinetobacter baumannii,Tunisia,2,0,Fewer than 8 valid data points
Acinetobacter baumannii,Turkey,14,6,Fewer than 8 valid data points
Acinetobacter baumannii,Uganda,1,0,Fewer than 8 valid data points
Acinetobacter baumannii,Ukraine,6,0,Fewer than 8 valid data points
Acinetobacter baumannii,United Kingdom,10,0,Fewer than 8 valid data points
Acinetobacter baumannii,Venezuela,12,0,Fewer than 8 valid data points
Escherichia coli,Austria,10,3,Fewer than 8 valid data points
Escherichia coli,Bulgaria,5,0,Fewer than 8 valid data points
Escherichia coli,Cameroon,5,0,Fewer than 8 valid data points
Escherichia coli,Costa Rica,7,4,Fewer than 8 valid data points
Escherichia coli,Dominican Republic,2,0,Fewer than 8 valid data points
Escherichia coli,Egypt,2,0,Fewer than 8 valid data points
Escherichia coli,El Salvador,1,0,Fewer than 8 valid data points
Escherichia coli,Finland,3,1,Fewer than 8 valid data points
Escherichia coli,Ghana,2,0,Fewer than 8 valid data points
Escherichia coli,Guatemala,11,0,Fewer than 8 valid data points
Escherichia coli,Honduras,2,0,Fewer than 8 valid data points
Escherichia coli,Hong Kong,12,6,Fewer than 8 valid data points
Escherichia coli,Ivory Coast,5,2,Fewer than 8 valid data points
Escherichia coli,Jamaica,1,0,Fewer than 8 valid data points
Escherichia coli,Japan,10,7,Fewer than 8 valid data points
Escherichia coli,Jordan,13,0,Fewer than 8 valid data points
Escherichia coli,Kenya,3,0,Fewer than 8 valid data points
Escherichia coli,Kuwait,12,2,Fewer than 8 valid data points
Escherichia coli,Latvia,11,4,Fewer than 8 valid data points
Escherichia coli,Lebanon,1,0,Fewer than 8 valid data points
Escherichia coli,Malawi,2,0,Fewer than 8 valid data points
Escherichia coli,Malaysia,11,5,Fewer than 8 valid data points
Escherichia coli,Mauritius,1,0,Fewer than 8 valid data points
Escherichia coli,Morocco,9,2,Fewer than 8 valid data points
Escherichia coli,New Zealand,6,4,Fewer than 8 valid data points
Escherichia coli,Nicaragua,1,0,Fewer than 8 valid data points
Escherichia coli,Nigeria,8,1,Fewer than 8 valid data points
Escherichia coli,Oman,1,0,Fewer than 8 valid data points
Escherichia coli,Pakistan,5,0,Fewer than 8 valid data points
Escherichia coli,Panama,14,1,Fewer than 8 valid data points
Escherichia coli,Philippines,14,7,Fewer than 8 valid data points
Escherichia coli,Qatar,6,3,Fewer than 8 valid data points
Escherichia coli,Russia,5,2,Fewer than 8 valid data points
Escherichia coli,Saudi Arabia,7,2,Fewer than 8 valid data points
Escherichia coli,Singapore,9,6,Fewer than 8 valid data points
Escherichia coli,Slovak Republic,3,0,Fewer than 8 valid data points
Escherichia coli,Slovenia,8,3,Fewer than 8 valid data points
Escherichia coli,South Africa,17,7,Fewer than 8 valid data points
Escherichia coli,Tunisia,3,0,Fewer than 8 valid data points
Escherichia coli,Uganda,3,0,Fewer than 8 valid data points
Escherichia coli,Ukraine,7,0,Fewer than 8 valid data points
Escherichia coli,Venezuela,16,5,Fewer than 8 valid data points
Escherichia coli,Vietnam,1,0,Fewer than 8 valid data points
Staphylococcus aureus,Australia,16,5,Fewer than 8 valid data points
Staphylococcus aureus,Austria,8,3,Fewer than 8 valid data points
Staphylococcus aureus,Bulgaria,5,0,Fewer than 8 valid data points
Staphylococcus aureus,Cameroon,1,0,Fewer than 8 valid data points
Staphylococcus aureus,Costa Rica,7,1,Fewer than 8 valid data points
Staphylococcus aureus,Denmark,18,7,Fewer than 8 valid data points
Staphylococcus aureus,Dominican Republic,4,0,Fewer than 8 valid data points
Staphylococcus aureus,El Salvador,1,0,Fewer than 8 valid data points
Staphylococcus aureus,Finland,3,0,Fewer than 8 valid data points
Staphylococcus aureus,Ghana,3,0,Fewer than 8 valid data points
Staphylococcus aureus,Guatemala,11,4,Fewer than 8 valid data points
Staphylococcus aureus,Honduras,3,0,Fewer than 8 valid data points
Staphylococcus aureus,Hong Kong,8,3,Fewer than 8 valid data points
Staphylococcus aureus,India,11,7,Fewer than 8 valid data points
Staphylococcus aureus,Ivory Coast,5,0,Fewer than 8 valid data points
Staphylococcus aureus,Jamaica,1,0,Fewer than 8 valid data points
Staphylococcus aureus,Jordan,13,0,Fewer than 8 valid data points
Staphylococcus aureus,Kenya,4,0,Fewer than 8 valid data points
Staphylococcus aureus,Kuwait,12,5,Fewer than 8 valid data points
Staphylococcus aureus,Latvia,10,3,Fewer than 8 valid data points
Staphylococcus aureus,Malawi,2,0,Fewer than 8 valid data points
Staphylococcus aureus,Malaysia,11,7,Fewer than 8 valid data points
Staphylococcus aureus,Mauritius,1,0,Fewer than 8 valid data points
Staphylococcus aureus,Morocco,10,4,Fewer than 8 valid data points
Staphylococcus aureus,Namibia,1,0,Fewer than 8 valid data points
Staphylococcus aureus,Netherlands,15,3,Fewer than 8 valid data points
Staphylococcus aureus,New Zealand,6,4,Fewer than 8 valid data points
Staphylococcus aureus,Nigeria,8,3,Fewer than 8 valid data points
Staphylococcus aureus,Norway,1,0,Fewer than 8 valid data points
Staphylococcus aureus,Oman,1,0,Fewer than 8 valid data points
Staphylococcus aureus,Pakistan,2,0,Fewer than 8 valid data points
Staphylococcus aureus,Panama,13,5,Fewer than 8 valid data points
Staphylococcus aureus,Philippines,15,6,Fewer than 8 valid data points
Staphylococcus aureus,Puerto Rico,1,0,Fewer than 8 valid data points
Staphylococcus aureus,Qatar,5,1,Fewer than 8 valid data points
Staphylococcus aureus,Russia,6,3,Fewer than 8 valid data points
Staphylococcus aureus,Saudi Arabia,9,2,Fewer than 8 valid data points
Staphylococcus aureus,Serbia,1,0,Fewer than 8 valid data points
Staphylococcus aureus,Singapore,8,3,Fewer than 8 valid data points
Staphylococcus aureus,Slovak Republic,3,0,Fewer than 8 valid data points
Staphylococcus aureus,Slovenia,10,2,Fewer than 8 valid data points
Staphylococcus aureus,Sweden,14,7,Fewer than 8 valid data points
Staphylococcus aureus,Switzerland,19,7,Fewer than 8 valid data points
Staphylococcus aureus,Thailand,13,6,Fewer than 8 valid data points
Staphylococcus aureus,Tunisia,3,0,Fewer than 8 valid data points
Staphylococcus aureus,Uganda,3,0,Fewer than 8 valid data points
Staphylococcus aureus,Ukraine,7,1,Fewer than 8 valid data points
Staphylococcus aureus,Venezuela,15,3,Fewer than 8 valid data points
Staphylococcus aureus,Vietnam,1,0,Fewer than 8 valid data points
Pseudomonas aeruginosa,Argentina,19,7,Fewer than 8 valid data points
Pseudomonas aeruginosa,Australia,18,6,Fewer than 8 valid data points
Pseudomonas aeruginosa,Austria,6,0,Fewer than 8 valid data points
Pseudomonas aeruginosa,Bulgaria,3,0,Fewer than 8 valid data points
Pseudomonas aeruginosa,Cameroon,4,0,Fewer than 8 valid data points
Pseudomonas aeruginosa,Chile,16,5,Fewer than 8 valid data points
Pseudomonas aeruginosa,Costa Rica,7,0,Fewer than 8 valid data points
Pseudomonas aeruginosa,Czech Republic,14,5,Fewer than 8 valid data points
Pseudomonas aeruginosa,Dominican Republic,4,0,Fewer than 8 valid data points
Pseudomonas aeruginosa,Egypt,1,0,Fewer than 8 valid data points
Pseudomonas aeruginosa,Finland,2,0,Fewer than 8 valid data points
Pseudomonas aeruginosa,Ghana,3,0,Fewer than 8 valid data points
Pseudomonas aeruginosa,Greece,18,6,Fewer than 8 valid data points
Pseudomonas aeruginosa,Guatemala,10,1,Fewer than 8 valid data points
Pseudomonas aeruginosa,Honduras,2,0,Fewer than 8 valid data points
Pseudomonas aeruginosa,Hong Kong,9,3,Fewer than 8 valid data points
Pseudomonas aeruginosa,Hungary,14,7,Fewer than 8 valid data points
Pseudomonas aeruginosa,Ireland,20,3,Fewer than 8 valid data points
Pseudomonas aeruginosa,Israel,15,4,Fewer than 8 valid data points
Pseudomonas aeruginosa,Ivory Coast,4,0,Fewer than 8 valid data points
Pseudomonas aeruginosa,Japan,11,2,Fewer than 8 valid data points
Pseudomonas aeruginosa,Jordan,10,0,Fewer than 8 valid data points
Pseudomonas aeruginosa,Kenya,2,0,Fewer than 8 valid data points
Pseudomonas aeruginosa,"Korea, South",15,5,Fewer than 8 valid data points
Pseudomonas aeruginosa,Kuwait,11,2,Fewer than 8 valid data points
Pseudomonas aeruginosa,Latvia,9,1,Fewer than 8 valid data points
Pseudomonas aeruginosa,Lithuania,9,2,Fewer than 8 valid data points
Pseudomonas aeruginosa,Malawi,2,0,Fewer than 8 valid data points
Pseudomonas aeruginosa,Malaysia,12,0,Fewer than 8 valid data points
Pseudomonas aeruginosa,Morocco,12,1,Fewer than 8 valid data points
Pseudomonas aeruginosa,Netherlands,11,1,Fewer than 8 valid data points
Pseudomonas aeruginosa,New Zealand,6,0,Fewer than 8 valid data points
Pseudomonas aeruginosa,Nigeria,8,0,Fewer than 8 valid data points
Pseudomonas aeruginosa,Oman,1,0,Fewer than 8 valid data points
Pseudomonas aeruginosa,Pakistan,3,0,Fewer than 8 valid data points
Pseudomonas aeruginosa,Panama,9,2,Fewer than 8 valid data points
Pseudomonas aeruginosa,Philippines,14,1,Fewer than 8 valid data points
Pseudomonas aeruginosa,Poland,14,3,Fewer than 8 valid data points
Pseudomonas aeruginosa,Qatar,5,1,Fewer than 8 valid data points
Pseudomonas aeruginosa,Romania,14,5,Fewer than 8 valid data points
Pseudomonas aeruginosa,Russia,3,1,Fewer than 8 valid data points
Pseudomonas aeruginosa,Saudi Arabia,9,2,Fewer than 8 valid data points
Pseudomonas aeruginosa,Serbia,1,0,Fewer than 8 valid data points
Pseudomonas aeruginosa,Singapore,8,1,Fewer than 8 valid data points
Pseudomonas aeruginosa,Slovak Republic,3,0,Fewer than 8 valid data points
Pseudomonas aeruginosa,Slovenia,9,2,Fewer than 8 valid data points
Pseudomonas aeruginosa,South Africa,13,5,Fewer than 8 valid data points
Pseudomonas aeruginosa,Sweden,15,1,Fewer than 8 valid data points
Pseudomonas aeruginosa,Switzerland,18,2,Fewer than 8 valid data points
Pseudomonas aeruginosa,Thailand,9,4,Fewer than 8 valid data points
Pseudomonas aeruginosa,Tunisia,2,0,Fewer than 8 valid data points
Pseudomonas aeruginosa,Turkey,14,5,Fewer than 8 valid data points
Pseudomonas aeruginosa,Uganda,2,0,Fewer than 8 valid data points
Pseudomonas aeruginosa,Ukraine,7,0,Fewer than 8 valid data points
Pseudomonas aeruginosa,Venezuela,14,5,Fewer than 8 valid data points
Enterobacter cloacae,Argentina,16,5,Fewer than 8 valid data points
Enterobacter cloacae,Australia,13,1,Fewer than 8 valid data points
Enterobacter cloacae,Austria,5,0,Fewer than 8 valid data points
Enterobacter cloacae,Belgium,17,0,Fewer than 8 valid data points
Enterobacter cloacae,Brazil,15,6,Fewer than 8 valid data points
Enterobacter cloacae,Bulgaria,2,0,Fewer than 8 valid data points
Enterobacter cloacae,Cameroon,1,0,Fewer than 8 valid data points
Enterobacter cloacae,Chile,14,0,Fewer than 8 valid data points
Enterobacter cloacae,China,13,4,Fewer than 8 valid data points
Enterobacter cloacae,Colombia,17,5,Fewer than 8 valid data points
Enterobacter cloacae,Costa Rica,1,0,Fewer than 8 valid data points
Enterobacter cloacae,Croatia,13,3,Fewer than 8 valid data points
Enterobacter cloacae,Czech Republic,11,0,Fewer than 8 valid data points
Enterobacter cloacae,Denmark,14,4,Fewer than 8 valid data points
Enterobacter cloacae,Egypt,1,0,Fewer than 8 valid data points
Enterobacter cloacae,El Salvador,1,0,Fewer than 8 valid data points
Enterobacter cloacae,Finland,1,0,Fewer than 8 valid data points
Enterobacter cloacae,Greece,15,1,Fewer than 8 valid data points
Enterobacter cloacae,Guatemala,7,0,Fewer than 8 valid data points
Enterobacter cloacae,Honduras,2,0,Fewer than 8 valid data points
Enterobacter cloacae,Hong Kong,9,1,Fewer than 8 valid data points
Enterobacter cloacae,Hungary,12,0,Fewer than 8 valid data points
Enterobacter cloacae,India,12,3,Fewer than 8 valid data points
Enterobacter cloacae,Ireland,15,2,Fewer than 8 valid data points
Enterobacter cloacae,Israel,12,3,Fewer than 8 valid data points
Enterobacter cloacae,Ivory Coast,3,0,Fewer than 8 valid data points
Enterobacter cloacae,Japan,7,0,Fewer than 8 valid data points
Enterobacter cloacae,Jordan,7,0,Fewer than 8 valid data points
Enterobacter cloacae,Kenya,1,0,Fewer than 8 valid data points
Enterobacter cloacae,"Korea, South",14,4,Fewer than 8 valid data points
Enterobacter cloacae,Kuwait,9,0,Fewer than 8 valid data points
Enterobacter cloacae,Latvia,8,0,Fewer than 8 valid data points
Enterobacter cloacae,Lithuania,6,0,Fewer than 8 valid data points
Enterobacter cloacae,Malaysia,8,0,Fewer than 8 valid data points
Enterobacter cloacae,Mauritius,1,0,Fewer than 8 valid data points
Enterobacter cloacae,Mexico,16,6,Fewer than 8 valid data points
Enterobacter cloacae,Morocco,11,1,Fewer than 8 valid data points
Enterobacter cloacae,Netherlands,15,0,Fewer than 8 valid data points
Enterobacter cloacae,New Zealand,2,0,Fewer than 8 valid data points
Enterobacter cloacae,Nigeria,5,0,Fewer than 8 valid data points
Enterobacter cloacae,Pakistan,6,0,Fewer than 8 valid data points
Enterobacter cloacae,Panama,10,0,Fewer than 8 valid data points
Enterobacter cloacae,Philippines,11,0,Fewer than 8 valid data points
Enterobacter cloacae,Poland,13,1,Fewer than 8 valid data points
Enterobacter cloacae,Portugal,16,3,Fewer than 8 valid data points
Enterobacter cloacae,Puerto Rico,1,0,Fewer than 8 valid data points
Enterobacter cloacae,Qatar,1,0,Fewer than 8 valid data points
Enterobacter cloacae,Romania,8,1,Fewer than 8 valid data points
Enterobacter cloacae,Russia,3,1,Fewer than 8 valid data points
Enterobacter cloacae,Saudi Arabia,8,2,Fewer than 8 valid data points
Enterobacter cloacae,Serbia,1,0,Fewer than 8 valid data points
Enterobacter cloacae,Singapore,9,1,Fewer than 8 valid data points
Enterobacter cloacae,Slovak Republic,2,0,Fewer than 8 valid data points
Enterobacter cloacae,Slovenia,5,0,Fewer than 8 valid data points
Enterobacter cloacae,South Africa,12,0,Fewer than 8 valid data points
Enterobacter cloacae,Sweden,13,2,Fewer than 8 valid data points
Enterobacter cloacae,Switzerland,14,0,Fewer than 8 valid data points
Enterobacter cloacae,Taiwan,10,2,Fewer than 8 valid data points
Enterobacter cloacae,Thailand,8,0,Fewer than 8 valid data points
Enterobacter cloacae,Tunisia,3,0,Fewer than 8 valid data points
Enterobacter cloacae,Turkey,10,1,Fewer than 8 valid data points
Enterobacter cloacae,Ukraine,2,0,Fewer than 8 valid data points
Enterobacter cloacae,United Kingdom,18,4,Fewer than 8 valid data points
Enterobacter cloacae,Venezuela,13,0,Fewer than 8 valid data points
Enterobacter cloacae,Vietnam,1,0,Fewer than 8 valid data points
Enterococcus faecium,Argentina,17,0,Fewer than 8 valid data points
Enterococcus faecium,Australia,14,1,Fewer than 8 valid data points
Enterococcus faecium,Austria,4,0,Fewer than 8 valid data points
Enterococcus faecium,Belgium,18,4,Fewer than 8 valid data points
Enterococcus faecium,Brazil,14,1,Fewer than 8 valid data points
Enterococcus faecium,Bulgaria,5,0,Fewer than 8 valid data points
Enterococcus faecium,Chile,17,0,Fewer than 8 valid data points
