Organism,Country,Total_Years,Valid_Years,Reason
Enterococcus faecium,China,10,6,Fewer than 8 valid data points
Enterococcus faecium,Colombia,11,0,Fewer than 8 valid data points
Enterococcus faecium,Costa Rica,3,0,Fewer than 8 valid data points
Enterococcus faecium,Croatia,15,2,Fewer than 8 valid data points
Enterococcus faecium,Czech Republic,11,0,Fewer than 8 valid data points
Enterococcus faecium,Denmark,11,0,Fewer than 8 valid data points
Enterococcus faecium,Dominican Republic,2,0,Fewer than 8 valid data points
Enterococcus faecium,Finland,2,0,Fewer than 8 valid data points
Enterococcus faecium,Greece,16,0,Fewer than 8 valid data points
Enterococcus faecium,Guatemala,3,0,Fewer than 8 valid data points
Enterococcus faecium,Hong Kong,7,0,Fewer than 8 valid data points
Enterococcus faecium,Hungary,10,1,Fewer than 8 valid data points
Enterococcus faecium,India,9,1,Fewer than 8 valid data points
Enterococcus faecium,Ireland,18,4,Fewer than 8 valid data points
Enterococcus faecium,Israel,12,1,Fewer than 8 valid data points
Enterococcus faecium,Ivory Coast,2,0,Fewer than 8 valid data points
Enterococcus faecium,Japan,9,0,Fewer than 8 valid data points
Enterococcus faecium,Jordan,5,0,Fewer than 8 valid data points
Enterococcus faecium,Kenya,1,0,Fewer than 8 valid data points
Enterococcus faecium,"Korea, South",14,4,Fewer than 8 valid data points
Enterococcus faecium,Kuwait,10,0,Fewer than 8 valid data points
Enterococcus faecium,Latvia,6,0,Fewer than 8 valid data points
Enterococcus faecium,Lithuania,8,0,Fewer than 8 valid data points
Enterococcus faecium,Malaysia,9,0,Fewer than 8 valid data points
Enterococcus faecium,Mexico,14,0,Fewer than 8 valid data points
Enterococcus faecium,Morocco,7,0,Fewer than 8 valid data points
Enterococcus faecium,Netherlands,10,0,Fewer than 8 valid data points
Enterococcus faecium,New Zealand,5,0,Fewer than 8 valid data points
Enterococcus faecium,Nigeria,2,0,Fewer than 8 valid data points
Enterococcus faecium,Pakistan,4,0,Fewer than 8 valid data points
Enterococcus faecium,Panama,5,0,Fewer than 8 valid data points
Enterococcus faecium,Philippines,3,0,Fewer than 8 valid data points
Enterococcus faecium,Poland,14,0,Fewer than 8 valid data points
Enterococcus faecium,Portugal,16,0,Fewer than 8 valid data points
Enterococcus faecium,Qatar,5,0,Fewer than 8 valid data points
Enterococcus faecium,Romania,10,0,Fewer than 8 valid data points
Enterococcus faecium,Russia,3,0,Fewer than 8 valid data points
Enterococcus faecium,Saudi Arabia,7,0,Fewer than 8 valid data points
Enterococcus faecium,Singapore,4,0,Fewer than 8 valid data points
Enterococcus faecium,Slovenia,3,0,Fewer than 8 valid data points
Enterococcus faecium,South Africa,13,0,Fewer than 8 valid data points
Enterococcus faecium,Sweden,9,0,Fewer than 8 valid data points
Enterococcus faecium,Switzerland,17,0,Fewer than 8 valid data points
Enterococcus faecium,Taiwan,14,3,Fewer than 8 valid data points
Enterococcus faecium,Thailand,9,0,Fewer than 8 valid data points
Enterococcus faecium,Tunisia,1,0,Fewer than 8 valid data points
Enterococcus faecium,Turkey,11,1,Fewer than 8 valid data points
Enterococcus faecium,Ukraine,7,0,Fewer than 8 valid data points
Enterococcus faecium,United Kingdom,18,1,Fewer than 8 valid data points
Enterococcus faecium,Venezuela,12,0,Fewer than 8 valid data points
Staphylococcus epidermidis,Argentina,11,4,Fewer than 8 valid data points
Staphylococcus epidermidis,Australia,11,0,Fewer than 8 valid data points
Staphylococcus epidermidis,Austria,2,0,Fewer than 8 valid data points
Staphylococcus epidermidis,Brazil,11,4,Fewer than 8 valid data points
Staphylococcus epidermidis,Bulgaria,2,0,Fewer than 8 valid data points
Staphylococcus epidermidis,Canada,7,7,Fewer than 8 valid data points
Staphylococcus epidermidis,Chile,11,0,Fewer than 8 valid data points
Staphylococcus epidermidis,China,10,6,Fewer than 8 valid data points
Staphylococcus epidermidis,Colombia,11,4,Fewer than 8 valid data points
Staphylococcus epidermidis,Costa Rica,7,0,Fewer than 8 valid data points
Staphylococcus epidermidis,Croatia,8,4,Fewer than 8 valid data points
Staphylococcus epidermidis,Czech Republic,9,0,Fewer than 8 valid data points
Staphylococcus epidermidis,Denmark,10,0,Fewer than 8 valid data points
Staphylococcus epidermidis,Dominican Republic,4,0,Fewer than 8 valid data points
Staphylococcus epidermidis,Egypt,1,0,Fewer than 8 valid data points
Staphylococcus epidermidis,Greece,10,2,Fewer than 8 valid data points
Staphylococcus epidermidis,Guatemala,7,0,Fewer than 8 valid data points
Staphylococcus epidermidis,Hong Kong,2,0,Fewer than 8 valid data points
Staphylococcus epidermidis,Hungary,11,6,Fewer than 8 valid data points
Staphylococcus epidermidis,India,6,4,Fewer than 8 valid data points
Staphylococcus epidermidis,Ireland,7,0,Fewer than 8 valid data points
Staphylococcus epidermidis,Israel,12,1,Fewer than 8 valid data points
Staphylococcus epidermidis,Ivory Coast,4,0,Fewer than 8 valid data points
Staphylococcus epidermidis,Japan,11,0,Fewer than 8 valid data points
Staphylococcus epidermidis,Jordan,4,0,Fewer than 8 valid data points
Staphylococcus epidermidis,Kenya,1,0,Fewer than 8 valid data points
Staphylococcus epidermidis,"Korea, South",9,1,Fewer than 8 valid data points
Staphylococcus epidermidis,Kuwait,10,2,Fewer than 8 valid data points
Staphylococcus epidermidis,Latvia,5,1,Fewer than 8 valid data points
Staphylococcus epidermidis,Lithuania,7,0,Fewer than 8 valid data points
Staphylococcus epidermidis,Malaysia,7,0,Fewer than 8 valid data points
Staphylococcus epidermidis,Mexico,11,1,Fewer than 8 valid data points
Staphylococcus epidermidis,Morocco,6,0,Fewer than 8 valid data points
Staphylococcus epidermidis,Netherlands,10,2,Fewer than 8 valid data points
Staphylococcus epidermidis,New Zealand,5,0,Fewer than 8 valid data points
Staphylococcus epidermidis,Nigeria,8,2,Fewer than 8 valid data points
Staphylococcus epidermidis,Panama,7,1,Fewer than 8 valid data points
Staphylococcus epidermidis,Philippines,10,1,Fewer than 8 valid data points
Staphylococcus epidermidis,Poland,11,3,Fewer than 8 valid data points
Staphylococcus epidermidis,Portugal,11,5,Fewer than 8 valid data points
Staphylococcus epidermidis,Qatar,6,0,Fewer than 8 valid data points
Staphylococcus epidermidis,Romania,9,2,Fewer than 8 valid data points
Staphylococcus epidermidis,Russia,6,1,Fewer than 8 valid data points
Staphylococcus epidermidis,Saudi Arabia,4,0,Fewer than 8 valid data points
Staphylococcus epidermidis,Singapore,1,0,Fewer than 8 valid data points
Staphylococcus epidermidis,Slovenia,3,0,Fewer than 8 valid data points
Staphylococcus epidermidis,South Africa,10,1,Fewer than 8 valid data points
Staphylococcus epidermidis,Sweden,3,0,Fewer than 8 valid data points
Staphylococcus epidermidis,Switzerland,10,3,Fewer than 8 valid data points
Staphylococcus epidermidis,Taiwan,11,2,Fewer than 8 valid data points
Staphylococcus epidermidis,Thailand,10,0,Fewer than 8 valid data points
Staphylococcus epidermidis,Turkey,10,0,Fewer than 8 valid data points
Staphylococcus epidermidis,Ukraine,6,0,Fewer than 8 valid data points
Staphylococcus epidermidis,United Kingdom,9,1,Fewer than 8 valid data points
Staphylococcus epidermidis,Venezuela,11,1,Fewer than 8 valid data points
Serratia marcescens,Argentina,17,2,Fewer than 8 valid data points
Serratia marcescens,Australia,14,1,Fewer than 8 valid data points
Serratia marcescens,Austria,3,0,Fewer than 8 valid data points
Serratia marcescens,Belgium,18,0,Fewer than 8 valid data points
Serratia marcescens,Brazil,15,3,Fewer than 8 valid data points
Serratia marcescens,Bulgaria,3,0,Fewer than 8 valid data points
Serratia marcescens,Cameroon,2,0,Fewer than 8 valid data points
Serratia marcescens,Canada,20,4,Fewer than 8 valid data points
Serratia marcescens,Chile,17,0,Fewer than 8 valid data points
Serratia marcescens,China,12,2,Fewer than 8 valid data points
Serratia marcescens,Colombia,19,2,Fewer than 8 valid data points
Serratia marcescens,Costa Rica,4,0,Fewer than 8 valid data points
Serratia marcescens,Croatia,15,0,Fewer than 8 valid data points
Serratia marcescens,Czech Republic,8,0,Fewer than 8 valid data points
Serratia marcescens,Denmark,15,0,Fewer than 8 valid data points
Serratia marcescens,Germany,20,1,Fewer than 8 valid data points
Serratia marcescens,Greece,15,1,Fewer than 8 valid data points
Serratia marcescens,Guatemala,9,0,Fewer than 8 valid data points
Serratia marcescens,Hong Kong,8,0,Fewer than 8 valid data points
Serratia marcescens,Hungary,12,0,Fewer than 8 valid data points
Serratia marcescens,India,11,0,Fewer than 8 valid data points
Serratia marcescens,Indonesia,1,0,Fewer than 8 valid data points
Serratia marcescens,Ireland,12,0,Fewer than 8 valid data points
Serratia marcescens,Israel,10,2,Fewer than 8 valid data points
Serratia marcescens,Jamaica,1,0,Fewer than 8 valid data points
Serratia marcescens,Japan,6,0,Fewer than 8 valid data points
Serratia marcescens,Jordan,7,0,Fewer than 8 valid data points
Serratia marcescens,Kenya,1,0,Fewer than 8 valid data points
Serratia marcescens,"Korea, South",10,2,Fewer than 8 valid data points
Serratia marcescens,Kuwait,11,0,Fewer than 8 valid data points
Serratia marcescens,Latvia,5,0,Fewer than 8 valid data points
Serratia marcescens,Lithuania,8,0,Fewer than 8 valid data points
Serratia marcescens,Malaysia,8,0,Fewer than 8 valid data points
Serratia marcescens,Mauritius,1,0,Fewer than 8 valid data points
Serratia marcescens,Mexico,16,2,Fewer than 8 valid data points
Serratia marcescens,Morocco,11,0,Fewer than 8 valid data points
Serratia marcescens,Netherlands,12,0,Fewer than 8 valid data points
Serratia marcescens,New Zealand,5,0,Fewer than 8 valid data points
Serratia marcescens,Nigeria,7,0,Fewer than 8 valid data points
Serratia marcescens,Norway,1,0,Fewer than 8 valid data points
Serratia marcescens,Pakistan,4,0,Fewer than 8 valid data points
Serratia marcescens,Panama,10,0,Fewer than 8 valid data points
Serratia marcescens,Philippines,10,0,Fewer than 8 valid data points
Serratia marcescens,Poland,10,0,Fewer than 8 valid data points
Serratia marcescens,Portugal,17,0,Fewer than 8 valid data points
Serratia marcescens,Puerto Rico,1,0,Fewer than 8 valid data points
Serratia marcescens,Qatar,2,0,Fewer than 8 valid data points
Serratia marcescens,Romania,9,0,Fewer than 8 valid data points
Serratia marcescens,Russia,2,0,Fewer than 8 valid data points
Serratia marcescens,Saudi Arabia,8,1,Fewer than 8 valid data points
Serratia marcescens,Serbia,1,0,Fewer than 8 valid data points
Serratia marcescens,Singapore,5,0,Fewer than 8 valid data points
Serratia marcescens,Slovak Republic,2,0,Fewer than 8 valid data points
Serratia marcescens,Slovenia,5,0,Fewer than 8 valid data points
Serratia marcescens,South Africa,10,0,Fewer than 8 valid data points
Serratia marcescens,Sweden,10,0,Fewer than 8 valid data points
Serratia marcescens,Switzerland,14,0,Fewer than 8 valid data points
Serratia marcescens,Taiwan,14,2,Fewer than 8 valid data points
Serratia marcescens,Thailand,8,0,Fewer than 8 valid data points
Serratia marcescens,Tunisia,3,0,Fewer than 8 valid data points
Serratia marcescens,Turkey,8,0,Fewer than 8 valid data points
Serratia marcescens,Ukraine,1,0,Fewer than 8 valid data points
Serratia marcescens,United Kingdom,16,1,Fewer than 8 valid data points
Serratia marcescens,Venezuela,11,1,Fewer than 8 valid data points
Citrobacter koseri,Argentina,4,0,Fewer than 8 valid data points
Citrobacter koseri,Australia,3,0,Fewer than 8 valid data points
Citrobacter koseri,Belgium,9,0,Fewer than 8 valid data points
Citrobacter koseri,Brazil,7,0,Fewer than 8 valid data points
Citrobacter koseri,Canada,6,0,Fewer than 8 valid data points
Citrobacter koseri,Chile,3,0,Fewer than 8 valid data points
Citrobacter koseri,China,6,0,Fewer than 8 valid data points
Citrobacter koseri,Colombia,3,0,Fewer than 8 valid data points
Citrobacter koseri,Costa Rica,1,0,Fewer than 8 valid data points
Citrobacter koseri,Croatia,5,0,Fewer than 8 valid data points
Citrobacter koseri,Czech Republic,4,0,Fewer than 8 valid data points
Citrobacter koseri,Denmark,7,0,Fewer than 8 valid data points
Citrobacter koseri,France,13,3,Fewer than 8 valid data points
Citrobacter koseri,Germany,9,0,Fewer than 8 valid data points
Citrobacter koseri,Greece,4,0,Fewer than 8 valid data points
Citrobacter koseri,Hungary,6,0,Fewer than 8 valid data points
Citrobacter koseri,India,6,0,Fewer than 8 valid data points
Citrobacter koseri,Ireland,1,0,Fewer than 8 valid data points
Citrobacter koseri,Israel,5,0,Fewer than 8 valid data points
Citrobacter koseri,Italy,12,0,Fewer than 8 valid data points
Citrobacter koseri,Japan,1,0,Fewer than 8 valid data points
Citrobacter koseri,Kuwait,3,0,Fewer than 8 valid data points
Citrobacter koseri,Latvia,2,0,Fewer than 8 valid data points
Citrobacter koseri,Lithuania,2,0,Fewer than 8 valid data points
Citrobacter koseri,Malaysia,5,0,Fewer than 8 valid data points
Citrobacter koseri,Mexico,2,0,Fewer than 8 valid data points
Citrobacter koseri,Morocco,1,0,Fewer than 8 valid data points
Citrobacter koseri,Netherlands,5,0,Fewer than 8 valid data points
Citrobacter koseri,New Zealand,5,0,Fewer than 8 valid data points
Citrobacter koseri,Nigeria,1,0,Fewer than 8 valid data points
Citrobacter koseri,Panama,4,0,Fewer than 8 valid data points
Citrobacter koseri,Philippines,6,0,Fewer than 8 valid data points
Citrobacter koseri,Poland,2,0,Fewer than 8 valid data points
Citrobacter koseri,Portugal,6,0,Fewer than 8 valid data points
Citrobacter koseri,Qatar,3,0,Fewer than 8 valid data points
Citrobacter koseri,Russia,1,0,Fewer than 8 valid data points
Citrobacter koseri,Singapore,1,0,Fewer than 8 valid data points
Citrobacter koseri,South Africa,3,0,Fewer than 8 valid data points
Citrobacter koseri,Spain,11,0,Fewer than 8 valid data points
Citrobacter koseri,Sweden,6,0,Fewer than 8 valid data points
Citrobacter koseri,Switzerland,5,0,Fewer than 8 valid data points
Citrobacter koseri,Taiwan,5,0,Fewer than 8 valid data points
Citrobacter koseri,Thailand,6,0,Fewer than 8 valid data points
Citrobacter koseri,Turkey,1,0,Fewer than 8 valid data points
Citrobacter koseri,Ukraine,1,0,Fewer than 8 valid data points
Citrobacter koseri,United Kingdom,7,0,Fewer than 8 valid data points
Citrobacter koseri,United States,8,0,Fewer than 8 valid data points
Citrobacter koseri,Venezuela,2,0,Fewer than 8 valid data points
Streptococcus pneumoniae,Argentina,17,6,Fewer than 8 valid data points
Streptococcus pneumoniae,Austria,7,0,Fewer than 8 valid data points
Streptococcus pneumoniae,Brazil,17,2,Fewer than 8 valid data points
Streptococcus pneumoniae,Bulgaria,4,0,Fewer than 8 valid data points
Streptococcus pneumoniae,Chile,17,4,Fewer than 8 valid data points
Streptococcus pneumoniae,China,12,2,Fewer than 8 valid data points
Streptococcus pneumoniae,Colombia,17,3,Fewer than 8 valid data points
Streptococcus pneumoniae,Costa Rica,2,0,Fewer than 8 valid data points
Streptococcus pneumoniae,Czech Republic,15,2,Fewer than 8 valid data points
Streptococcus pneumoniae,Denmark,17,4,Fewer than 8 valid data points
Streptococcus pneumoniae,Dominican Republic,4,0,Fewer than 8 valid data points
Streptococcus pneumoniae,Finland,2,0,Fewer than 8 valid data points
Streptococcus pneumoniae,Greece,15,1,Fewer than 8 valid data points
Streptococcus pneumoniae,Guatemala,7,0,Fewer than 8 valid data points
Streptococcus pneumoniae,Honduras,1,0,Fewer than 8 valid data points
Streptococcus pneumoniae,Hong Kong,4,0,Fewer than 8 valid data points
Streptococcus pneumoniae,Hungary,16,1,Fewer than 8 valid data points
Streptococcus pneumoniae,India,9,0,Fewer than 8 valid data points
Streptococcus pneumoniae,Ireland,15,2,Fewer than 8 valid data points
Streptococcus pneumoniae,Jamaica,1,0,Fewer than 8 valid data points
Streptococcus pneumoniae,Japan,9,0,Fewer than 8 valid data points
Streptococcus pneumoniae,Jordan,9,0,Fewer than 8 valid data points
Streptococcus pneumoniae,Kenya,1,0,Fewer than 8 valid data points
Streptococcus pneumoniae,"Korea, South",15,1,Fewer than 8 valid data points
Streptococcus pneumoniae,Kuwait,13,6,Fewer than 8 valid data points
Streptococcus pneumoniae,Latvia,10,1,Fewer than 8 valid data points
Streptococcus pneumoniae,Lithuania,11,1,Fewer than 8 valid data points
Streptococcus pneumoniae,Malaysia,13,0,Fewer than 8 valid data points
Streptococcus pneumoniae,Mauritius,1,0,Fewer than 8 valid data points
Streptococcus pneumoniae,Mexico,14,1,Fewer than 8 valid data points
Streptococcus pneumoniae,Morocco,11,1,Fewer than 8 valid data points
Streptococcus pneumoniae,Netherlands,18,6,Fewer than 8 valid data points
Streptococcus pneumoniae,New Zealand,5,3,Fewer than 8 valid data points
Streptococcus pneumoniae,Oman,1,0,Fewer than 8 valid data points
Streptococcus pneumoniae,Pakistan,4,0,Fewer than 8 valid data points
Streptococcus pneumoniae,Panama,11,0,Fewer than 8 valid data points
Streptococcus pneumoniae,Philippines,12,1,Fewer than 8 valid data points
Streptococcus pneumoniae,Poland,16,6,Fewer than 8 valid data points
Streptococcus pneumoniae,Qatar,3,0,Fewer than 8 valid data points
Streptococcus pneumoniae,Romania,8,0,Fewer than 8 valid data points
Streptococcus pneumoniae,Russia,4,0,Fewer than 8 valid data points
Streptococcus pneumoniae,Saudi Arabia,6,0,Fewer than 8 valid data points
Streptococcus pneumoniae,Serbia,2,0,Fewer than 8 valid data points
Streptococcus pneumoniae,Singapore,8,0,Fewer than 8 valid data points
Streptococcus pneumoniae,Slovak Republic,1,0,Fewer than 8 valid data points
Streptococcus pneumoniae,Slovenia,9,0,Fewer than 8 valid data points
Streptococcus pneumoniae,South Africa,17,1,Fewer than 8 valid data points
Streptococcus pneumoniae,Sweden,10,1,Fewer than 8 valid data points
Streptococcus pneumoniae,Switzerland,18,3,Fewer than 8 valid data points
Streptococcus pneumoniae,Taiwan,15,1,Fewer than 8 valid data points
Streptococcus pneumoniae,Thailand,12,1,Fewer than 8 valid data points
Streptococcus pneumoniae,Tunisia,3,0,Fewer than 8 valid data points
Streptococcus pneumoniae,Turkey,8,0,Fewer than 8 valid data points
Streptococcus pneumoniae,Ukraine,1,0,Fewer than 8 valid data points
Streptococcus pneumoniae,Venezuela,12,0,Fewer than 8 valid data points
Haemophilus influenzae,Argentina,11,0,Fewer than 8 valid data points
Haemophilus influenzae,Australia,7,0,Fewer than 8 valid data points
Haemophilus influenzae,Austria,4,0,Fewer than 8 valid data points
Haemophilus influenzae,Belgium,11,0,Fewer than 8 valid data points
Haemophilus influenzae,Brazil,7,0,Fewer than 8 valid data points
Haemophilus influenzae,Bulgaria,5,0,Fewer than 8 valid data points
Haemophilus influenzae,Canada,20,6,Fewer than 8 valid data points
Haemophilus influenzae,Chile,8,0,Fewer than 8 valid data points
Haemophilus influenzae,China,3,0,Fewer than 8 valid data points
Haemophilus influenzae,Colombia,8,0,Fewer than 8 valid data points
Haemophilus influenzae,Costa Rica,2,0,Fewer than 8 valid data points
Haemophilus influenzae,Croatia,9,0,Fewer than 8 valid data points
Haemophilus influenzae,Czech Republic,5,0,Fewer than 8 valid data points
Haemophilus influenzae,Denmark,6,0,Fewer than 8 valid data points
Haemophilus influenzae,Finland,1,0,Fewer than 8 valid data points
Haemophilus influenzae,France,16,1,Fewer than 8 valid data points
Haemophilus influenzae,Germany,16,0,Fewer than 8 valid data points
Haemophilus influenzae,Greece,2,0,Fewer than 8 valid data points
Haemophilus influenzae,Guatemala,4,0,Fewer than 8 valid data points
Haemophilus influenzae,Honduras,1,0,Fewer than 8 valid data points
Haemophilus influenzae,Hong Kong,1,0,Fewer than 8 valid data points
Haemophilus influenzae,Hungary,4,0,Fewer than 8 valid data points
Haemophilus influenzae,India,5,0,Fewer than 8 valid data points
Haemophilus influenzae,Ireland,4,0,Fewer than 8 valid data points
Haemophilus influenzae,Israel,14,2,Fewer than 8 valid data points
Haemophilus influenzae,Italy,17,0,Fewer than 8 valid data points
Haemophilus influenzae,Japan,2,0,Fewer than 8 valid data points
Haemophilus influenzae,Jordan,1,0,Fewer than 8 valid data points
Haemophilus influenzae,"Korea, South",7,0,Fewer than 8 valid data points
Haemophilus influenzae,Kuwait,7,0,Fewer than 8 valid data points
Haemophilus influenzae,Latvia,4,0,Fewer than 8 valid data points
Haemophilus influenzae,Lithuania,5,0,Fewer than 8 valid data points
Haemophilus influenzae,Malaysia,2,0,Fewer than 8 valid data points
Haemophilus influenzae,Mexico,4,0,Fewer than 8 valid data points
Haemophilus influenzae,Morocco,6,0,Fewer than 8 valid data points
Haemophilus influenzae,Netherlands,6,0,Fewer than 8 valid data points
Haemophilus influenzae,New Zealand,2,0,Fewer than 8 valid data points
Haemophilus influenzae,Oman,1,0,Fewer than 8 valid data points
Haemophilus influenzae,Pakistan,2,0,Fewer than 8 valid data points
Haemophilus influenzae,Panama,4,0,Fewer than 8 valid data points
Haemophilus influenzae,Philippines,4,0,Fewer than 8 valid data points
Haemophilus influenzae,Poland,7,1,Fewer than 8 valid data points
Haemophilus influenzae,Portugal,12,0,Fewer than 8 valid data points
Haemophilus influenzae,Qatar,2,0,Fewer than 8 valid data points
Haemophilus influenzae,Romania,4,0,Fewer than 8 valid data points
Haemophilus influenzae,Russia,1,0,Fewer than 8 valid data points
Haemophilus influenzae,Saudi Arabia,4,0,Fewer than 8 valid data points
Haemophilus influenzae,Serbia,1,0,Fewer than 8 valid data points
Haemophilus influenzae,Singapore,5,0,Fewer than 8 valid data points
Haemophilus influenzae,Slovenia,1,0,Fewer than 8 valid data points
Haemophilus influenzae,South Africa,4,0,Fewer than 8 valid data points
Haemophilus influenzae,Spain,21,6,Fewer than 8 valid data points
Haemophilus influenzae,Sweden,1,0,Fewer than 8 valid data points
Haemophilus influenzae,Switzerland,12,0,Fewer than 8 valid data points
Haemophilus influenzae,Taiwan,7,0,Fewer than 8 valid data points
Haemophilus influenzae,Thailand,5,0,Fewer than 8 valid data points
Haemophilus influenzae,United Kingdom,14,0,Fewer than 8 valid data points
Haemophilus influenzae,Venezuela,5,0,Fewer than 8 valid data points
Salmonella spp,Australia,1,0,Fewer than 8 valid data points
Salmonella spp,China,2,0,Fewer than 8 valid data points
Salmonella spp,Jordan,1,0,Fewer than 8 valid data points
Salmonella spp,Nigeria,1,0,Fewer than 8 valid data points
Salmonella spp,Venezuela,1,0,Fewer than 8 valid data points
