Organism,Country,Year,ARIMA_Forecast_%,ARIMA_CI_Lower_%,ARIMA_CI_Upper_%,Prophet_Forecast_%,Prophet_CI_Lower_%,Prophet_CI_Upper_%,Model_Agreement,Ensemble_Mean_%
Acinetobacter baumannii,Croatia,2025.0,99.99,99.76,100.0,99.87,95.84,100.0,AGREE,99.93
Acinetobacter baumannii,Croatia,2026.0,99.94,99.62,100.0,100.0,96.46,100.0,AGREE,99.97
Acinetobacter baumannii,Croatia,2027.0,99.89,99.4,100.0,100.0,96.86,100.0,AGREE,99.94
Acinetobacter baumannii,Croatia,2028.0,99.85,99.14,100.0,100.0,96.72,100.0,AGREE,99.92
Acinetobacter baumannii,Croatia,2029.0,99.82,98.87,100.0,100.0,96.68,100.0,AGREE,99.91
Acinetobacter baumannii,Croatia,2030.0,99.79,98.59,100.0,100.0,97.59,100.0,AGREE,99.9
Acinetobacter baumannii,France,2025.0,45.78,12.18,79.39,58.74,38.29,75.48,DISAGREE,52.26
Acinetobacter baumannii,France,2026.0,64.23,19.06,100.0,61.43,45.04,79.14,AGREE,62.83
Acinetobacter baumannii,France,2027.0,60.93,13.91,100.0,64.12,46.73,81.92,AGREE,62.53
Acinetobacter baumannii,France,2028.0,47.65,0.0,96.0,66.82,49.87,84.9,DISAGREE,57.24
Acinetobacter baumannii,France,2029.0,57.41,2.4,100.0,69.52,52.34,87.32,DISAGREE,63.46
Acinetobacter baumannii,France,2030.0,63.04,4.49,100.0,72.21,54.35,89.71,AGREE,67.62
Acinetobacter baumannii,Italy,2025.0,60.28,37.75,82.82,91.77,80.2,100.0,DISAGREE,76.03
Acinetobacter baumannii,Italy,2026.0,60.28,23.04,97.52,92.47,81.2,100.0,DISAGREE,76.38
Acinetobacter baumannii,Italy,2027.0,60.28,12.68,100.0,93.16,81.44,100.0,DISAGREE,76.72
Acinetobacter baumannii,Italy,2028.0,60.28,4.21,100.0,93.86,82.14,100.0,DISAGREE,77.07
Acinetobacter baumannii,Italy,2029.0,60.28,0.0,100.0,94.56,82.12,100.0,DISAGREE,77.42
Acinetobacter baumannii,Italy,2030.0,60.28,0.0,100.0,95.25,83.56,100.0,DISAGREE,77.76
Acinetobacter baumannii,Spain,2025.0,93.19,74.15,100.0,68.69,61.45,74.89,DISAGREE,80.94
Acinetobacter baumannii,Spain,2026.0,65.55,45.82,85.29,68.31,61.39,74.19,AGREE,66.93
Acinetobacter baumannii,Spain,2027.0,44.38,22.74,66.02,67.93,61.14,75.26,DISAGREE,56.16
Acinetobacter baumannii,Spain,2028.0,58.08,30.91,85.24,67.55,61.47,73.7,AGREE,62.82
Acinetobacter baumannii,Spain,2029.0,96.45,68.82,100.0,67.17,61.11,73.74,DISAGREE,81.81
Acinetobacter baumannii,Spain,2030.0,100.0,84.89,100.0,66.79,59.83,72.95,DISAGREE,83.4
Acinetobacter baumannii,United States,2025.0,53.14,26.22,80.05,55.56,41.33,70.46,AGREE,54.35
Acinetobacter baumannii,United States,2026.0,53.17,26.26,80.09,55.98,42.6,69.53,AGREE,54.58
Acinetobacter baumannii,United States,2027.0,53.21,26.29,80.12,56.4,42.92,70.84,AGREE,54.8
Acinetobacter baumannii,United States,2028.0,53.24,26.32,80.16,56.81,42.88,70.38,AGREE,55.03
Acinetobacter baumannii,United States,2029.0,53.28,26.35,80.2,57.23,42.74,71.14,AGREE,55.26
Acinetobacter baumannii,United States,2030.0,53.31,26.39,80.24,57.65,44.5,72.43,AGREE,55.48
Enterobacter cloacae,Canada,2025.0,65.1,0.0,100.0,24.63,13.88,35.71,DISAGREE,44.86
Enterobacter cloacae,Canada,2026.0,65.1,0.0,100.0,25.64,13.8,37.8,DISAGREE,45.37
Enterobacter cloacae,Canada,2027.0,65.1,0.0,100.0,26.65,14.22,38.96,DISAGREE,45.88
Enterobacter cloacae,Canada,2028.0,65.1,0.0,100.0,27.65,16.95,39.81,DISAGREE,46.38
Enterobacter cloacae,Canada,2029.0,65.1,0.0,100.0,28.66,17.88,41.15,DISAGREE,46.88
Enterobacter cloacae,Canada,2030.0,65.1,0.0,100.0,29.67,17.87,42.04,DISAGREE,47.38
Enterobacter cloacae,France,2025.0,92.22,6.45,100.0,66.5,45.1,88.66,DISAGREE,79.36
Enterobacter cloacae,France,2026.0,100.0,36.36,100.0,68.78,47.79,88.16,DISAGREE,84.39
Enterobacter cloacae,France,2027.0,87.91,0.0,100.0,71.06,50.01,92.74,DISAGREE,79.48
Enterobacter cloacae,France,2028.0,100.0,24.67,100.0,73.34,52.55,98.06,DISAGREE,86.67
Enterobacter cloacae,France,2029.0,82.6,0.0,100.0,75.63,55.14,97.84,AGREE,79.11
Enterobacter cloacae,France,2030.0,100.0,16.25,100.0,77.91,58.39,98.69,DISAGREE,88.96
Enterobacter cloacae,Germany,2025.0,6.03,0.0,47.96,0.87,0.0,17.33,AGREE,3.45
Enterobacter cloacae,Germany,2026.0,6.03,0.0,49.83,0.0,0.0,14.72,AGREE,3.02
Enterobacter cloacae,Germany,2027.0,6.03,0.0,51.63,0.0,0.0,15.77,AGREE,3.02
Enterobacter cloacae,Germany,2028.0,6.03,0.0,53.36,0.0,0.0,13.89,AGREE,3.02
Enterobacter cloacae,Germany,2029.0,6.03,0.0,55.02,0.0,0.0,13.42,AGREE,3.02
Enterobacter cloacae,Germany,2030.0,6.03,0.0,56.63,0.0,0.0,10.36,AGREE,3.02
Enterobacter cloacae,Italy,2025.0,51.98,0.0,100.0,10.45,0.0,28.2,DISAGREE,31.21
Enterobacter cloacae,Italy,2026.0,51.98,0.0,100.0,8.72,0.0,26.8,DISAGREE,30.35
Enterobacter cloacae,Italy,2027.0,51.98,0.0,100.0,6.99,0.0,26.02,DISAGREE,29.48
Enterobacter cloacae,Italy,2028.0,51.98,0.0,100.0,5.27,0.0,21.13,DISAGREE,28.62
Enterobacter cloacae,Italy,2029.0,51.98,0.0,100.0,3.54,0.0,24.74,DISAGREE,27.76
Enterobacter cloacae,Italy,2030.0,51.98,0.0,100.0,1.81,0.0,20.28,DISAGREE,26.9
Enterobacter cloacae,Spain,2025.0,66.47,7.84,100.0,44.24,29.88,60.21,DISAGREE,55.36
Enterobacter cloacae,Spain,2026.0,66.47,2.26,100.0,45.79,31.14,62.31,DISAGREE,56.13
Enterobacter cloacae,Spain,2027.0,66.47,0.0,100.0,47.35,31.4,62.38,DISAGREE,56.91
Enterobacter cloacae,Spain,2028.0,66.47,0.0,100.0,48.9,32.04,63.9,DISAGREE,57.68
Enterobacter cloacae,Spain,2029.0,66.47,0.0,100.0,50.46,34.05,66.83,DISAGREE,58.46
Enterobacter cloacae,Spain,2030.0,66.47,0.0,100.0,52.02,34.67,70.0,DISAGREE,59.24
Enterobacter cloacae,United States,2025.0,29.13,0.0,77.96,43.27,26.95,60.54,DISAGREE,36.2
Enterobacter cloacae,United States,2026.0,66.78,10.38,100.0,44.71,29.26,61.89,DISAGREE,55.74
Enterobacter cloacae,United States,2027.0,24.28,0.0,84.93,46.16,29.01,62.54,DISAGREE,35.22
Enterobacter cloacae,United States,2028.0,72.26,5.04,100.0,47.6,31.04,64.73,DISAGREE,59.93
Enterobacter cloacae,United States,2029.0,18.09,0.0,88.64,49.05,32.73,64.3,DISAGREE,33.57
Enterobacter cloacae,United States,2030.0,79.24,2.6,100.0,50.5,34.47,67.94,DISAGREE,64.87
Enterococcus faecium,Canada,2025.0,81.8,64.31,99.3,98.66,88.29,100.0,DISAGREE,90.23
Enterococcus faecium,Canada,2026.0,79.07,61.58,96.57,100.0,92.03,100.0,DISAGREE,89.54
Enterococcus faecium,Canada,2027.0,76.58,58.54,94.61,100.0,95.57,100.0,DISAGREE,88.29
Enterococcus faecium,Canada,2028.0,74.22,55.02,93.43,100.0,100.0,100.0,DISAGREE,87.11
Enterococcus faecium,Canada,2029.0,71.98,51.36,92.59,100.0,100.0,100.0,DISAGREE,85.99
Enterococcus faecium,Canada,2030.0,69.81,47.77,91.85,100.0,100.0,100.0,DISAGREE,84.9
Enterococcus faecium,France,2025.0,41.24,0.0,100.0,100.0,73.13,100.0,DISAGREE,70.62
Enterococcus faecium,France,2026.0,34.9,0.0,100.0,100.0,80.49,100.0,DISAGREE,67.45
Enterococcus faecium,France,2027.0,29.53,0.0,100.0,100.0,82.22,100.0,DISAGREE,64.76
Enterococcus faecium,France,2028.0,24.99,0.0,100.0,100.0,91.82,100.0,DISAGREE,62.5
Enterococcus faecium,France,2029.0,21.15,0.0,100.0,100.0,99.01,100.0,DISAGREE,60.58
Enterococcus faecium,France,2030.0,17.89,0.0,100.0,100.0,100.0,100.0,DISAGREE,58.94
Enterococcus faecium,Germany,2025.0,86.04,66.29,100.0,100.0,91.97,100.0,DISAGREE,93.02
Enterococcus faecium,Germany,2026.0,91.36,44.97,100.0,100.0,96.58,100.0,AGREE,95.68
Enterococcus faecium,Germany,2027.0,97.99,29.82,100.0,100.0,100.0,100.0,AGREE,99.0
Enterococcus faecium,Germany,2028.0,100.0,19.53,100.0,100.0,100.0,100.0,AGREE,100.0
Enterococcus faecium,Germany,2029.0,100.0,10.25,100.0,100.0,100.0,100.0,AGREE,100.0
Enterococcus faecium,Germany,2030.0,100.0,2.11,100.0,100.0,100.0,100.0,AGREE,100.0
Enterococcus faecium,Italy,2025.0,96.22,47.75,100.0,100.0,81.43,100.0,AGREE,98.11
Enterococcus faecium,Italy,2026.0,95.27,23.85,100.0,100.0,87.04,100.0,AGREE,97.64
Enterococcus faecium,Italy,2027.0,95.27,15.65,100.0,100.0,94.79,100.0,AGREE,97.64
Enterococcus faecium,Italy,2028.0,95.27,8.22,100.0,100.0,97.93,100.0,AGREE,97.64
Enterococcus faecium,Italy,2029.0,95.27,1.37,100.0,100.0,100.0,100.0,AGREE,97.64
Enterococcus faecium,Italy,2030.0,95.27,0.0,100.0,100.0,100.0,100.0,AGREE,97.64
Enterococcus faecium,Spain,2025.0,73.45,11.22,100.0,98.77,81.43,100.0,DISAGREE,86.11
Enterococcus faecium,Spain,2026.0,73.45,3.51,100.0,100.0,85.67,100.0,DISAGREE,86.72
Enterococcus faecium,Spain,2027.0,73.45,0.0,100.0,100.0,92.48,100.0,DISAGREE,86.72
Enterococcus faecium,Spain,2028.0,73.45,0.0,100.0,100.0,99.86,100.0,DISAGREE,86.72
Enterococcus faecium,Spain,2029.0,73.45,0.0,100.0,100.0,100.0,100.0,DISAGREE,86.72
Enterococcus faecium,Spain,2030.0,73.45,0.0,100.0,100.0,100.0,100.0,DISAGREE,86.72
Enterococcus faecium,United States,2025.0,88.07,62.11,100.0,91.57,77.99,100.0,AGREE,89.82
Enterococcus faecium,United States,2026.0,87.88,61.01,100.0,92.79,78.95,100.0,AGREE,90.34
Enterococcus faecium,United States,2027.0,87.88,60.2,100.0,94.0,82.38,100.0,AGREE,90.94
Enterococcus faecium,United States,2028.0,87.88,59.41,100.0,95.21,82.75,100.0,AGREE,91.54
Enterococcus faecium,United States,2029.0,87.88,58.64,100.0,96.43,84.51,100.0,AGREE,92.16
Enterococcus faecium,United States,2030.0,87.88,57.89,100.0,97.64,84.36,100.0,AGREE,92.76
Escherichia coli,Argentina,2025.0,56.81,16.68,96.94,62.25,40.35,84.47,AGREE,59.53
Escherichia coli,Argentina,2026.0,57.39,13.22,100.0,64.27,43.62,84.58,AGREE,60.83
Escherichia coli,Argentina,2027.0,57.39,9.93,100.0,66.29,44.46,86.81,AGREE,61.84
Escherichia coli,Argentina,2028.0,57.39,6.85,100.0,68.31,45.48,89.67,DISAGREE,62.85
Escherichia coli,Argentina,2029.0,57.39,3.94,100.0,70.34,47.31,92.68,DISAGREE,63.86
Escherichia coli,Argentina,2030.0,57.39,1.19,100.0,72.36,50.82,93.56,DISAGREE,64.88
Escherichia coli,Australia,2025.0,27.53,0.0,60.18,44.8,28.76,62.13,DISAGREE,36.16
Escherichia coli,Australia,2026.0,24.68,0.0,63.21,46.82,31.65,61.49,DISAGREE,35.75
Escherichia coli,Australia,2027.0,24.68,0.0,70.09,48.84,32.28,62.2,DISAGREE,36.76
Escherichia coli,Australia,2028.0,24.68,0.0,76.05,50.86,34.85,66.94,DISAGREE,37.77
Escherichia coli,Australia,2029.0,24.68,0.0,81.4,52.88,36.58,68.94,DISAGREE,38.78
Escherichia coli,Australia,2030.0,24.68,0.0,86.27,54.9,38.68,71.62,DISAGREE,39.79
Escherichia coli,Belgium,2025.0,63.29,49.71,76.87,56.37,44.83,67.93,AGREE,59.83
Escherichia coli,Belgium,2026.0,62.36,41.06,83.66,58.67,47.46,68.65,AGREE,60.52
Escherichia coli,Belgium,2027.0,62.03,34.05,90.01,60.98,48.7,71.39,AGREE,61.5
Escherichia coli,Belgium,2028.0,62.77,30.69,94.86,63.28,53.31,74.65,AGREE,63.03
Escherichia coli,Belgium,2029.0,62.83,27.38,98.27,65.59,54.35,77.2,AGREE,64.21
Escherichia coli,Belgium,2030.0,62.28,22.98,100.0,67.89,55.74,78.36,AGREE,65.09
Escherichia coli,Brazil,2025.0,48.74,27.12,70.35,69.18,55.29,84.5,DISAGREE,58.96
Escherichia coli,Brazil,2026.0,58.78,32.45,85.11,71.67,58.79,86.06,DISAGREE,65.22
Escherichia coli,Brazil,2027.0,59.42,33.05,85.8,74.16,60.72,87.34,DISAGREE,66.79
Escherichia coli,Brazil,2028.0,60.07,33.65,86.49,76.64,64.74,90.84,DISAGREE,68.36
Escherichia coli,Brazil,2029.0,60.73,34.26,87.2,79.14,65.29,94.28,DISAGREE,69.94
Escherichia coli,Brazil,2030.0,61.39,34.87,87.91,81.62,68.13,96.32,DISAGREE,71.5
Escherichia coli,Canada,2025.0,38.59,19.2,57.98,39.79,27.19,51.9,AGREE,39.19
Escherichia coli,Canada,2026.0,43.1,21.12,65.07,41.52,29.84,54.07,AGREE,42.31
Escherichia coli,Canada,2027.0,45.78,22.5,69.07,43.25,30.21,55.48,AGREE,44.52
Escherichia coli,Canada,2028.0,48.63,23.95,73.31,44.99,32.75,58.64,AGREE,46.81
Escherichia coli,Canada,2029.0,51.66,25.49,77.82,46.72,35.54,59.54,AGREE,49.19
Escherichia coli,Canada,2030.0,54.87,27.13,82.62,48.46,37.14,60.35,AGREE,51.66
Escherichia coli,Chile,2025.0,42.67,17.85,67.48,45.06,26.93,60.63,AGREE,43.86
Escherichia coli,Chile,2026.0,42.88,11.84,73.93,45.24,28.0,63.04,AGREE,44.06
Escherichia coli,Chile,2027.0,42.58,11.51,73.65,45.43,27.05,61.38,AGREE,44.0
Escherichia coli,Chile,2028.0,42.28,11.18,73.37,45.62,29.67,61.97,AGREE,43.95
Escherichia coli,Chile,2029.0,41.98,10.85,73.1,45.81,27.31,62.75,AGREE,43.9
Escherichia coli,Chile,2030.0,41.68,10.53,72.82,46.0,29.23,63.31,AGREE,43.84
Escherichia coli,China,2025.0,82.96,67.97,97.95,86.5,77.64,95.43,AGREE,84.73
Escherichia coli,China,2026.0,83.87,68.54,99.2,87.99,79.54,97.61,AGREE,85.93
Escherichia coli,China,2027.0,84.46,69.12,99.81,89.47,79.85,98.14,AGREE,86.96
Escherichia coli,China,2028.0,85.06,69.7,100.0,90.95,82.06,99.65,AGREE,88.0
Escherichia coli,China,2029.0,85.66,70.28,100.0,92.44,84.25,100.0,AGREE,89.05
Escherichia coli,China,2030.0,86.26,70.87,100.0,93.92,84.86,100.0,AGREE,90.09
Escherichia coli,Colombia,2025.0,82.73,51.84,100.0,86.16,71.59,100.0,AGREE,84.44
Escherichia coli,Colombia,2026.0,90.93,46.06,100.0,90.09,74.56,100.0,AGREE,90.51
Escherichia coli,Colombia,2027.0,96.65,51.24,100.0,94.01,76.91,100.0,AGREE,95.33
Escherichia coli,Colombia,2028.0,100.0,56.72,100.0,97.93,80.3,100.0,AGREE,98.96
Escherichia coli,Colombia,2029.0,100.0,62.51,100.0,100.0,84.73,100.0,AGREE,100.0
Escherichia coli,Colombia,2030.0,100.0,68.64,100.0,100.0,89.29,100.0,AGREE,100.0
Escherichia coli,Croatia,2025.0,68.38,42.85,93.91,50.32,30.61,71.51,DISAGREE,59.35
Escherichia coli,Croatia,2026.0,67.82,36.7,98.93,52.0,34.27,73.09,DISAGREE,59.91
Escherichia coli,Croatia,2027.0,73.66,42.53,100.0,53.68,35.97,73.58,DISAGREE,63.67
Escherichia coli,Croatia,2028.0,80.01,48.85,100.0,55.36,36.87,77.78,DISAGREE,67.68
Escherichia coli,Croatia,2029.0,86.9,55.72,100.0,57.04,37.16,76.9,DISAGREE,71.97
Escherichia coli,Croatia,2030.0,94.39,63.17,100.0,58.72,40.57,78.53,DISAGREE,76.56
Escherichia coli,Czech Republic,2025.0,49.56,34.63,64.49,38.57,28.1,49.9,DISAGREE,44.06
Escherichia coli,Czech Republic,2026.0,44.6,12.27,76.92,39.15,29.02,49.85,AGREE,41.88
Escherichia coli,Czech Republic,2027.0,42.58,0.0,93.47,39.73,28.99,49.95,AGREE,41.16
Escherichia coli,Czech Republic,2028.0,40.66,0.0,100.0,40.32,29.88,52.69,AGREE,40.49
Escherichia coli,Czech Republic,2029.0,38.82,0.0,100.0,40.9,30.57,50.41,AGREE,39.86
Escherichia coli,Czech Republic,2030.0,37.07,0.0,100.0,41.48,30.5,52.73,AGREE,39.28
Escherichia coli,Denmark,2025.0,36.58,11.77,61.38,36.65,21.84,50.28,AGREE,36.61
Escherichia coli,Denmark,2026.0,36.91,11.85,61.98,38.15,24.09,52.12,AGREE,37.53
Escherichia coli,Denmark,2027.0,38.61,13.48,63.74,39.66,25.28,53.36,AGREE,39.14
Escherichia coli,Denmark,2028.0,40.38,15.18,65.59,41.16,28.21,54.68,AGREE,40.77
Escherichia coli,Denmark,2029.0,42.24,16.95,67.52,42.67,27.13,56.57,AGREE,42.46
Escherichia coli,Denmark,2030.0,44.18,18.81,69.55,44.17,30.27,58.73,AGREE,44.18
Escherichia coli,France,2025.0,42.12,21.82,62.41,48.11,38.12,57.16,AGREE,45.11
Escherichia coli,France,2026.0,44.26,23.01,65.52,50.3,41.05,59.96,AGREE,47.28
Escherichia coli,France,2027.0,44.26,20.03,68.49,52.5,42.78,62.36,AGREE,48.38
Escherichia coli,France,2028.0,44.26,17.39,71.13,54.69,44.56,64.3,DISAGREE,49.47
Escherichia coli,France,2029.0,44.26,14.98,73.54,56.89,47.19,66.32,DISAGREE,50.58
Escherichia coli,France,2030.0,44.26,12.76,75.76,59.08,49.79,67.58,DISAGREE,51.67
Escherichia coli,Germany,2025.0,37.83,10.28,65.38,43.05,27.14,58.79,AGREE,40.44
Escherichia coli,Germany,2026.0,34.66,6.17,63.15,44.15,29.66,58.05,AGREE,39.4
Escherichia coli,Germany,2027.0,34.66,2.7,66.62,45.25,31.27,58.99,DISAGREE,39.96
Escherichia coli,Germany,2028.0,34.66,0.0,69.75,46.35,31.37,61.18,DISAGREE,40.5
Escherichia coli,Germany,2029.0,34.66,0.0,72.63,47.45,33.88,61.15,DISAGREE,41.06
Escherichia coli,Germany,2030.0,34.66,0.0,75.3,48.55,33.36,62.87,DISAGREE,41.6
Escherichia coli,Greece,2025.0,91.13,66.85,100.0,59.68,40.98,79.37,DISAGREE,75.4
Escherichia coli,Greece,2026.0,89.51,38.08,100.0,62.71,42.69,81.62,DISAGREE,76.11
Escherichia coli,Greece,2027.0,90.68,19.21,100.0,65.74,47.15,86.2,DISAGREE,78.21
Escherichia coli,Greece,2028.0,89.84,4.55,100.0,68.77,50.66,89.39,DISAGREE,79.31
Escherichia coli,Greece,2029.0,90.45,0.0,100.0,71.81,54.21,92.93,DISAGREE,81.13
Escherichia coli,Greece,2030.0,90.01,0.0,100.0,74.84,57.04,94.62,DISAGREE,82.43
Escherichia coli,Hungary,2025.0,49.57,24.1,75.04,44.64,29.84,59.13,AGREE,47.1
Escherichia coli,Hungary,2026.0,42.71,14.66,70.76,45.07,30.02,59.95,AGREE,43.89
Escherichia coli,Hungary,2027.0,42.71,14.66,70.76,45.5,30.51,60.11,AGREE,44.1
Escherichia coli,Hungary,2028.0,42.71,14.66,70.76,45.93,31.84,59.96,AGREE,44.32
Escherichia coli,Hungary,2029.0,42.71,14.66,70.76,46.36,33.39,59.85,AGREE,44.54
Escherichia coli,Hungary,2030.0,42.71,14.66,70.76,46.79,32.24,60.04,AGREE,44.75
Escherichia coli,India,2025.0,85.7,69.1,100.0,87.64,73.25,100.0,AGREE,86.67
Escherichia coli,India,2026.0,87.25,67.54,100.0,88.04,73.25,100.0,AGREE,87.65
Escherichia coli,India,2027.0,89.51,65.38,100.0,88.43,72.46,100.0,AGREE,88.97
Escherichia coli,India,2028.0,89.21,59.21,100.0,88.83,72.59,100.0,AGREE,89.02
Escherichia coli,India,2029.0,87.9,53.35,100.0,89.23,73.69,100.0,AGREE,88.56
Escherichia coli,India,2030.0,87.74,50.16,100.0,89.63,74.69,100.0,AGREE,88.68
Escherichia coli,Ireland,2025.0,47.55,26.58,68.52,51.05,39.54,65.48,AGREE,49.3
Escherichia coli,Ireland,2026.0,36.83,12.43,61.24,53.23,39.9,66.45,DISAGREE,45.03
Escherichia coli,Ireland,2027.0,36.83,0.0,76.09,55.41,42.68,69.39,DISAGREE,46.12
Escherichia coli,Ireland,2028.0,36.83,0.0,86.7,57.59,43.46,70.98,DISAGREE,47.21
Escherichia coli,Ireland,2029.0,36.83,0.0,95.42,59.77,45.48,74.46,DISAGREE,48.3
Escherichia coli,Ireland,2030.0,36.83,0.0,100.0,61.95,47.65,76.0,DISAGREE,49.39
Escherichia coli,Israel,2025.0,58.7,37.55,79.84,58.66,46.45,71.16,AGREE,58.68
Escherichia coli,Israel,2026.0,64.04,43.28,84.81,59.53,47.4,70.85,AGREE,61.78
Escherichia coli,Israel,2027.0,64.04,37.61,90.48,60.41,49.2,72.62,AGREE,62.22
Escherichia coli,Israel,2028.0,64.04,32.95,95.13,61.28,49.45,73.18,AGREE,62.66
Escherichia coli,Israel,2029.0,64.04,28.91,99.18,62.16,49.55,74.07,AGREE,63.1
Escherichia coli,Israel,2030.0,64.04,25.28,100.0,63.04,51.42,74.7,AGREE,63.54
Escherichia coli,Italy,2025.0,49.05,37.84,60.27,53.93,46.63,62.64,AGREE,51.49
Escherichia coli,Italy,2026.0,48.01,33.18,62.83,54.67,46.09,63.35,AGREE,51.34
Escherichia coli,Italy,2027.0,48.01,33.1,62.92,55.42,46.32,64.73,AGREE,51.72
Escherichia coli,Italy,2028.0,48.01,33.02,63.0,56.17,47.02,64.37,AGREE,52.09
Escherichia coli,Italy,2029.0,48.01,32.94,63.08,56.92,47.63,66.07,AGREE,52.46
Escherichia coli,Italy,2030.0,48.01,32.86,63.16,57.67,49.77,66.09,AGREE,52.84
Escherichia coli,"Korea, South",2025.0,63.06,34.71,91.42,74.72,58.67,90.39,DISAGREE,68.89
Escherichia coli,"Korea, South",2026.0,63.68,35.25,92.11,77.45,61.41,94.92,DISAGREE,70.56
Escherichia coli,"Korea, South",2027.0,64.09,35.73,92.44,80.18,64.3,96.69,DISAGREE,72.14
Escherichia coli,"Korea, South",2028.0,64.35,35.85,92.86,82.92,66.7,99.58,DISAGREE,73.63
Escherichia coli,"Korea, South",2029.0,64.53,35.61,93.45,85.65,67.74,100.0,DISAGREE,75.09
Escherichia coli,"Korea, South",2030.0,64.65,35.09,94.21,88.39,72.1,100.0,DISAGREE,76.52
Escherichia coli,Lithuania,2025.0,32.53,16.12,48.94,48.28,29.62,67.08,DISAGREE,40.4
Escherichia coli,Lithuania,2026.0,28.98,9.48,48.49,50.65,32.65,70.21,DISAGREE,39.82
Escherichia coli,Lithuania,2027.0,27.0,7.36,46.63,53.01,33.88,70.75,DISAGREE,40.0
