Organism,Country,Year,ARIMA_Forecast_%,ARIMA_CI_Lower_%,ARIMA_CI_Upper_%,Prophet_Forecast_%,Prophet_CI_Lower_%,Prophet_CI_Upper_%,Model_Agreement,Ensemble_Mean_%
Escherichia coli,Lithuania,2028.0,25.14,5.4,44.89,55.38,38.35,71.48,DISAGREE,40.26
Escherichia coli,Lithuania,2029.0,23.42,3.58,43.26,57.75,39.26,74.12,DISAGREE,40.58
Escherichia coli,Lithuania,2030.0,21.81,1.89,41.74,60.12,44.26,78.84,DISAGREE,40.96
Escherichia coli,Mexico,2025.0,91.63,65.85,100.0,94.72,82.11,100.0,AGREE,93.18
Escherichia coli,Mexico,2026.0,97.77,68.58,100.0,97.55,84.57,100.0,AGREE,97.66
Escherichia coli,Mexico,2027.0,100.0,72.13,100.0,100.0,85.87,100.0,AGREE,100.0
Escherichia coli,Mexico,2028.0,100.0,75.81,100.0,100.0,90.3,100.0,AGREE,100.0
Escherichia coli,Mexico,2029.0,100.0,79.63,100.0,100.0,91.32,100.0,AGREE,100.0
Escherichia coli,Mexico,2030.0,100.0,83.58,100.0,100.0,94.14,100.0,AGREE,100.0
Escherichia coli,Netherlands,2025.0,45.39,25.14,65.65,44.53,30.86,56.95,AGREE,44.96
Escherichia coli,Netherlands,2026.0,42.52,19.54,65.5,46.9,32.54,60.49,AGREE,44.71
Escherichia coli,Netherlands,2027.0,44.58,21.56,67.6,49.26,36.22,63.08,AGREE,46.92
Escherichia coli,Netherlands,2028.0,46.74,23.67,69.81,51.62,38.02,64.87,AGREE,49.18
Escherichia coli,Netherlands,2029.0,49.0,25.88,72.12,53.99,40.24,67.1,AGREE,51.5
Escherichia coli,Netherlands,2030.0,51.37,28.2,74.55,56.35,42.32,69.97,AGREE,53.86
Escherichia coli,Poland,2025.0,48.3,23.09,73.52,49.11,32.91,63.12,AGREE,48.7
Escherichia coli,Poland,2026.0,44.75,17.71,71.78,50.06,35.63,66.48,AGREE,47.4
Escherichia coli,Poland,2027.0,44.66,17.63,71.69,51.01,35.34,67.58,AGREE,47.83
Escherichia coli,Poland,2028.0,44.57,17.55,71.6,51.96,37.81,66.78,AGREE,48.26
Escherichia coli,Poland,2029.0,44.49,17.47,71.5,52.91,38.56,70.6,AGREE,48.7
Escherichia coli,Poland,2030.0,44.4,17.39,71.41,53.86,39.09,69.77,AGREE,49.13
Escherichia coli,Portugal,2025.0,46.7,25.86,67.55,41.51,26.96,55.14,AGREE,44.1
Escherichia coli,Portugal,2026.0,47.2,26.14,68.25,42.57,29.73,56.96,AGREE,44.89
Escherichia coli,Portugal,2027.0,49.35,28.25,70.46,43.62,29.2,59.01,AGREE,46.48
Escherichia coli,Portugal,2028.0,51.61,30.44,72.77,44.68,30.46,60.28,AGREE,48.14
Escherichia coli,Portugal,2029.0,53.96,32.74,75.19,45.74,28.64,60.48,AGREE,49.85
Escherichia coli,Portugal,2030.0,56.43,35.14,77.72,46.8,31.82,61.0,AGREE,51.61
Escherichia coli,Romania,2025.0,41.16,25.44,56.87,49.57,36.52,60.02,AGREE,45.36
Escherichia coli,Romania,2026.0,42.06,22.69,61.43,49.48,36.56,61.13,AGREE,45.77
Escherichia coli,Romania,2027.0,40.68,21.24,60.12,49.39,36.92,62.71,AGREE,45.04
Escherichia coli,Romania,2028.0,39.34,19.84,58.84,49.3,37.38,62.1,AGREE,44.32
Escherichia coli,Romania,2029.0,38.05,18.49,57.61,49.21,36.98,61.27,DISAGREE,43.63
Escherichia coli,Romania,2030.0,36.8,17.19,56.41,49.12,36.19,61.39,DISAGREE,42.96
Escherichia coli,Spain,2025.0,34.94,15.84,54.05,47.72,36.75,59.63,DISAGREE,41.33
Escherichia coli,Spain,2026.0,38.13,14.6,61.66,49.15,36.79,60.41,DISAGREE,43.64
Escherichia coli,Spain,2027.0,38.13,13.58,62.68,50.58,39.32,62.11,DISAGREE,44.36
Escherichia coli,Spain,2028.0,38.13,12.61,63.65,52.02,40.55,64.68,DISAGREE,45.08
Escherichia coli,Spain,2029.0,38.13,11.67,64.59,53.45,40.21,65.31,DISAGREE,45.79
Escherichia coli,Spain,2030.0,38.13,10.76,65.5,54.89,43.77,67.07,DISAGREE,46.51
Escherichia coli,Sweden,2025.0,77.4,58.03,96.78,35.16,23.09,46.92,DISAGREE,56.28
Escherichia coli,Sweden,2026.0,15.57,0.0,44.67,37.0,25.13,49.49,DISAGREE,26.28
Escherichia coli,Sweden,2027.0,8.6,0.0,37.67,38.85,27.69,50.31,DISAGREE,23.72
Escherichia coli,Sweden,2028.0,100.0,86.08,100.0,40.69,29.05,52.02,DISAGREE,70.34
Escherichia coli,Sweden,2029.0,0.0,0.0,12.47,42.54,30.77,54.27,DISAGREE,21.27
Escherichia coli,Sweden,2030.0,0.0,0.0,48.03,44.39,32.06,57.09,DISAGREE,22.2
Escherichia coli,Switzerland,2025.0,37.32,5.66,68.98,46.38,31.15,62.35,AGREE,41.85
Escherichia coli,Switzerland,2026.0,36.3,0.0,74.59,48.51,32.4,64.65,DISAGREE,42.4
Escherichia coli,Switzerland,2027.0,36.3,0.0,76.49,50.64,34.81,64.9,DISAGREE,43.47
Escherichia coli,Switzerland,2028.0,36.3,0.0,78.31,52.77,38.24,67.14,DISAGREE,44.54
Escherichia coli,Switzerland,2029.0,36.3,0.0,80.05,54.91,39.33,71.4,DISAGREE,45.6
Escherichia coli,Switzerland,2030.0,36.3,0.0,81.72,57.03,41.09,71.25,DISAGREE,46.66
Escherichia coli,Taiwan,2025.0,65.39,26.27,100.0,69.96,48.06,89.8,AGREE,67.68
Escherichia coli,Taiwan,2026.0,65.24,15.05,100.0,72.29,51.64,91.33,AGREE,68.76
Escherichia coli,Taiwan,2027.0,65.24,7.9,100.0,74.62,55.35,95.21,AGREE,69.93
Escherichia coli,Taiwan,2028.0,65.24,1.54,100.0,76.95,56.95,97.7,DISAGREE,71.1
Escherichia coli,Taiwan,2029.0,65.24,0.0,100.0,79.29,59.18,98.67,DISAGREE,72.26
Escherichia coli,Taiwan,2030.0,65.24,0.0,100.0,81.63,59.95,100.0,DISAGREE,73.44
Escherichia coli,Thailand,2025.0,69.97,58.79,81.15,78.89,61.98,94.37,AGREE,74.43
Escherichia coli,Thailand,2026.0,65.21,52.27,78.15,79.61,62.46,93.8,DISAGREE,72.41
Escherichia coli,Thailand,2027.0,62.68,49.71,75.65,80.32,63.92,95.26,DISAGREE,71.5
Escherichia coli,Thailand,2028.0,60.26,47.26,73.26,81.04,64.29,97.0,DISAGREE,70.65
Escherichia coli,Thailand,2029.0,57.93,44.9,70.95,81.76,66.08,97.11,DISAGREE,69.84
Escherichia coli,Thailand,2030.0,55.68,42.63,68.73,82.48,66.4,97.44,DISAGREE,69.08
Escherichia coli,Turkey,2025.0,89.49,71.02,100.0,81.45,70.79,92.59,AGREE,85.47
Escherichia coli,Turkey,2026.0,93.46,74.43,100.0,83.64,71.78,95.21,AGREE,88.55
Escherichia coli,Turkey,2027.0,97.02,76.29,100.0,85.83,74.33,96.51,DISAGREE,91.42
Escherichia coli,Turkey,2028.0,100.0,76.71,100.0,88.02,77.89,99.18,DISAGREE,94.01
Escherichia coli,Turkey,2029.0,100.0,75.96,100.0,90.22,78.94,100.0,AGREE,95.11
Escherichia coli,Turkey,2030.0,100.0,74.33,100.0,92.41,81.85,100.0,AGREE,96.2
Escherichia coli,United Kingdom,2025.0,38.74,21.24,56.24,38.23,19.6,59.99,AGREE,38.48
Escherichia coli,United Kingdom,2026.0,40.92,9.74,72.09,38.97,17.99,59.5,AGREE,39.94
Escherichia coli,United Kingdom,2027.0,44.83,12.25,77.41,39.71,21.42,58.83,AGREE,42.27
Escherichia coli,United Kingdom,2028.0,43.05,9.73,76.37,40.46,24.24,59.41,AGREE,41.76
Escherichia coli,United Kingdom,2029.0,41.07,3.83,78.32,41.2,22.84,59.84,AGREE,41.14
Escherichia coli,United Kingdom,2030.0,42.36,1.54,83.17,41.94,23.4,60.24,AGREE,42.15
Escherichia coli,United States,2025.0,36.84,24.64,49.04,49.71,40.77,58.85,DISAGREE,43.28
Escherichia coli,United States,2026.0,52.94,29.03,76.84,51.88,42.32,62.38,AGREE,52.41
Escherichia coli,United States,2027.0,33.79,1.46,66.13,54.04,43.11,63.34,DISAGREE,43.92
Escherichia coli,United States,2028.0,56.56,18.37,94.75,56.21,46.17,66.65,AGREE,56.39
Escherichia coli,United States,2029.0,29.48,0.0,73.58,58.38,48.49,67.43,DISAGREE,43.93
Escherichia coli,United States,2030.0,61.68,13.27,100.0,60.55,50.8,70.1,AGREE,61.11
Haemophilus influenzae,United States,2025.0,0.0,0.0,4.31,0.0,0.0,1.17,AGREE,0.0
Haemophilus influenzae,United States,2026.0,0.0,0.0,4.31,0.0,0.0,1.08,AGREE,0.0
Haemophilus influenzae,United States,2027.0,0.0,0.0,4.31,0.0,0.0,0.81,AGREE,0.0
Haemophilus influenzae,United States,2028.0,0.0,0.0,4.31,0.0,0.0,0.95,AGREE,0.0
Haemophilus influenzae,United States,2029.0,0.0,0.0,4.31,0.0,0.0,0.35,AGREE,0.0
Haemophilus influenzae,United States,2030.0,0.0,0.0,4.31,0.0,0.0,0.56,AGREE,0.0
Klebsiella pneumoniae,Argentina,2025.0,73.27,43.44,100.0,81.23,69.44,93.77,AGREE,77.25
Klebsiella pneumoniae,Argentina,2026.0,73.27,41.13,100.0,83.19,70.95,95.27,AGREE,78.23
Klebsiella pneumoniae,Argentina,2027.0,73.27,38.98,100.0,85.15,73.77,97.37,DISAGREE,79.21
Klebsiella pneumoniae,Argentina,2028.0,73.27,36.96,100.0,87.11,76.56,99.73,DISAGREE,80.19
Klebsiella pneumoniae,Argentina,2029.0,73.27,35.04,100.0,89.08,76.82,100.0,DISAGREE,81.18
Klebsiella pneumoniae,Argentina,2030.0,73.27,33.22,100.0,91.04,78.51,100.0,DISAGREE,82.16
Klebsiella pneumoniae,Australia,2025.0,6.18,0.0,28.76,11.95,0.0,23.9,AGREE,9.06
Klebsiella pneumoniae,Australia,2026.0,4.58,0.0,29.69,11.77,1.51,23.9,AGREE,8.18
Klebsiella pneumoniae,Australia,2027.0,0.0,0.0,31.54,11.58,0.0,23.58,DISAGREE,5.79
Klebsiella pneumoniae,Australia,2028.0,0.0,0.0,31.54,11.39,0.81,25.37,DISAGREE,5.7
Klebsiella pneumoniae,Australia,2029.0,0.0,0.0,31.54,11.21,0.0,23.81,DISAGREE,5.6
Klebsiella pneumoniae,Australia,2030.0,0.0,0.0,31.54,11.02,0.0,23.46,DISAGREE,5.51
Klebsiella pneumoniae,Belgium,2025.0,36.62,17.56,55.68,52.19,39.29,66.09,DISAGREE,44.4
Klebsiella pneumoniae,Belgium,2026.0,61.29,38.79,83.79,54.01,39.87,68.0,AGREE,57.65
Klebsiella pneumoniae,Belgium,2027.0,35.08,7.81,62.36,55.84,41.39,70.7,DISAGREE,45.46
Klebsiella pneumoniae,Belgium,2028.0,62.92,33.23,92.62,57.66,43.25,72.32,AGREE,60.29
Klebsiella pneumoniae,Belgium,2029.0,33.35,0.0,66.91,59.48,45.44,72.07,DISAGREE,46.42
Klebsiella pneumoniae,Belgium,2030.0,64.77,29.3,100.0,61.31,47.66,76.35,AGREE,63.04
Klebsiella pneumoniae,Brazil,2025.0,47.56,30.15,64.96,78.08,67.78,88.47,DISAGREE,62.82
Klebsiella pneumoniae,Brazil,2026.0,46.34,23.8,68.88,79.13,69.04,88.77,DISAGREE,62.74
Klebsiella pneumoniae,Brazil,2027.0,46.34,9.4,83.28,80.18,70.22,90.16,DISAGREE,63.26
Klebsiella pneumoniae,Brazil,2028.0,46.34,0.0,93.47,81.22,71.35,90.36,DISAGREE,63.78
Klebsiella pneumoniae,Brazil,2029.0,46.34,0.0,100.0,82.27,72.39,92.54,DISAGREE,64.31
Klebsiella pneumoniae,Brazil,2030.0,46.34,0.0,100.0,83.32,73.05,93.96,DISAGREE,64.83
Klebsiella pneumoniae,Canada,2025.0,23.97,5.6,42.33,26.87,16.88,37.86,AGREE,25.42
Klebsiella pneumoniae,Canada,2026.0,24.11,1.25,46.97,27.93,17.81,38.04,AGREE,26.02
Klebsiella pneumoniae,Canada,2027.0,24.11,0.0,48.52,28.99,17.52,38.57,AGREE,26.55
Klebsiella pneumoniae,Canada,2028.0,24.11,0.0,49.98,30.05,19.38,40.14,AGREE,27.08
Klebsiella pneumoniae,Canada,2029.0,24.11,0.0,51.35,31.11,20.97,41.41,AGREE,27.61
Klebsiella pneumoniae,Canada,2030.0,24.11,0.0,52.67,32.17,21.75,42.78,AGREE,28.14
Klebsiella pneumoniae,Chile,2025.0,84.46,56.0,100.0,86.89,66.44,100.0,AGREE,85.68
Klebsiella pneumoniae,Chile,2026.0,93.91,61.06,100.0,88.66,69.4,100.0,AGREE,91.28
Klebsiella pneumoniae,Chile,2027.0,97.19,64.14,100.0,90.44,68.81,100.0,AGREE,93.82
Klebsiella pneumoniae,Chile,2028.0,100.0,67.32,100.0,92.21,71.27,100.0,AGREE,96.1
Klebsiella pneumoniae,Chile,2029.0,100.0,70.6,100.0,93.99,73.82,100.0,AGREE,97.0
Klebsiella pneumoniae,Chile,2030.0,100.0,74.0,100.0,95.76,77.11,100.0,AGREE,97.88
Klebsiella pneumoniae,China,2025.0,36.24,16.72,55.76,60.48,40.85,80.26,DISAGREE,48.36
Klebsiella pneumoniae,China,2026.0,28.16,8.9,47.43,60.87,42.07,80.03,DISAGREE,44.52
Klebsiella pneumoniae,China,2027.0,20.91,1.74,40.08,61.26,42.32,82.85,DISAGREE,41.08
Klebsiella pneumoniae,China,2028.0,14.63,0.0,33.82,61.66,42.51,80.69,DISAGREE,38.14
Klebsiella pneumoniae,China,2029.0,9.41,0.0,28.69,62.05,42.09,81.26,DISAGREE,35.73
Klebsiella pneumoniae,China,2030.0,5.21,0.0,24.61,62.45,42.88,83.47,DISAGREE,33.83
Klebsiella pneumoniae,Colombia,2025.0,64.51,24.03,100.0,71.09,49.71,91.25,AGREE,67.8
Klebsiella pneumoniae,Colombia,2026.0,63.51,20.36,100.0,73.28,50.1,94.29,AGREE,68.4
Klebsiella pneumoniae,Colombia,2027.0,63.51,16.37,100.0,75.46,53.51,96.5,DISAGREE,69.48
Klebsiella pneumoniae,Colombia,2028.0,63.51,12.7,100.0,77.65,55.39,98.79,DISAGREE,70.58
Klebsiella pneumoniae,Colombia,2029.0,63.51,9.27,100.0,79.85,59.27,100.0,DISAGREE,71.68
Klebsiella pneumoniae,Colombia,2030.0,63.51,6.05,100.0,82.03,60.58,100.0,DISAGREE,72.77
Klebsiella pneumoniae,Croatia,2025.0,75.37,68.46,82.28,85.49,72.78,97.75,DISAGREE,80.43
Klebsiella pneumoniae,Croatia,2026.0,75.73,58.8,92.66,87.23,76.0,99.54,DISAGREE,81.48
Klebsiella pneumoniae,Croatia,2027.0,77.28,55.11,99.45,88.97,76.41,100.0,DISAGREE,83.12
Klebsiella pneumoniae,Croatia,2028.0,76.31,51.03,100.0,90.71,78.54,100.0,DISAGREE,83.51
Klebsiella pneumoniae,Croatia,2029.0,76.34,47.58,100.0,92.46,80.1,100.0,DISAGREE,84.4
Klebsiella pneumoniae,Croatia,2030.0,76.64,44.85,100.0,94.2,81.43,100.0,DISAGREE,85.42
Klebsiella pneumoniae,Czech Republic,2025.0,71.04,51.49,90.59,63.72,46.2,78.72,AGREE,67.38
Klebsiella pneumoniae,Czech Republic,2026.0,48.82,29.88,67.77,63.73,48.28,79.03,DISAGREE,56.28
Klebsiella pneumoniae,Czech Republic,2027.0,68.66,49.12,88.2,63.73,47.92,79.2,AGREE,66.19
Klebsiella pneumoniae,Czech Republic,2028.0,45.8,26.85,64.75,63.74,48.18,78.98,DISAGREE,54.77
Klebsiella pneumoniae,Czech Republic,2029.0,66.41,46.87,85.96,63.74,48.79,79.97,AGREE,65.08
Klebsiella pneumoniae,Czech Republic,2030.0,42.88,23.91,61.85,63.75,47.73,78.99,DISAGREE,53.32
Klebsiella pneumoniae,Denmark,2025.0,15.81,0.0,33.73,23.72,10.65,35.94,AGREE,19.76
Klebsiella pneumoniae,Denmark,2026.0,18.62,0.14,37.11,24.31,11.88,36.79,AGREE,21.46
Klebsiella pneumoniae,Denmark,2027.0,18.35,0.0,36.83,24.9,12.19,37.12,AGREE,21.62
Klebsiella pneumoniae,Denmark,2028.0,18.08,0.0,36.55,25.49,13.3,37.84,AGREE,21.78
Klebsiella pneumoniae,Denmark,2029.0,17.81,0.0,36.27,26.08,12.31,37.76,AGREE,21.94
Klebsiella pneumoniae,Denmark,2030.0,17.55,0.0,36.01,26.67,15.26,38.19,AGREE,22.11
Klebsiella pneumoniae,France,2025.0,48.7,35.17,62.22,54.82,44.4,64.77,AGREE,51.76
Klebsiella pneumoniae,France,2026.0,52.51,33.83,71.18,56.96,47.57,66.74,AGREE,54.74
Klebsiella pneumoniae,France,2027.0,50.6,27.67,73.53,59.09,49.23,69.6,AGREE,54.84
Klebsiella pneumoniae,France,2028.0,47.36,20.57,74.14,61.22,49.98,71.25,DISAGREE,54.29
Klebsiella pneumoniae,France,2029.0,49.13,19.15,79.12,63.36,53.66,73.23,DISAGREE,56.24
Klebsiella pneumoniae,France,2030.0,51.89,19.21,84.58,65.5,55.6,74.9,DISAGREE,58.7
Klebsiella pneumoniae,Germany,2025.0,35.56,8.43,62.68,39.23,24.85,53.78,AGREE,37.39
Klebsiella pneumoniae,Germany,2026.0,38.55,10.45,66.64,40.65,25.51,55.99,AGREE,39.6
Klebsiella pneumoniae,Germany,2027.0,40.02,11.8,68.23,42.07,25.55,55.53,AGREE,41.04
Klebsiella pneumoniae,Germany,2028.0,41.54,13.2,69.89,43.5,27.79,58.46,AGREE,42.52
Klebsiella pneumoniae,Germany,2029.0,43.13,14.65,71.61,44.92,30.66,61.54,AGREE,44.03
Klebsiella pneumoniae,Germany,2030.0,44.77,16.15,73.4,46.35,30.45,62.57,AGREE,45.56
Klebsiella pneumoniae,Greece,2025.0,98.94,71.65,100.0,88.76,77.21,100.0,DISAGREE,93.85
Klebsiella pneumoniae,Greece,2026.0,100.0,84.41,100.0,89.94,77.63,100.0,DISAGREE,94.97
Klebsiella pneumoniae,Greece,2027.0,100.0,67.47,100.0,91.11,79.1,100.0,AGREE,95.56
Klebsiella pneumoniae,Greece,2028.0,100.0,59.6,100.0,92.29,80.06,100.0,AGREE,96.15
Klebsiella pneumoniae,Greece,2029.0,100.0,51.95,100.0,93.47,81.99,100.0,AGREE,96.74
Klebsiella pneumoniae,Greece,2030.0,100.0,45.32,100.0,94.65,82.32,100.0,AGREE,97.32
Klebsiella pneumoniae,Hungary,2025.0,24.92,6.0,43.85,50.31,34.16,67.07,DISAGREE,37.62
Klebsiella pneumoniae,Hungary,2026.0,28.4,0.0,68.37,49.02,32.02,63.4,DISAGREE,38.71
Klebsiella pneumoniae,Hungary,2027.0,25.88,0.0,80.97,47.74,30.27,64.83,DISAGREE,36.81
Klebsiella pneumoniae,Hungary,2028.0,27.71,0.0,93.49,46.45,28.92,65.0,DISAGREE,37.08
Klebsiella pneumoniae,Hungary,2029.0,26.38,0.0,100.0,45.17,29.53,62.74,DISAGREE,35.78
Klebsiella pneumoniae,Hungary,2030.0,27.34,0.0,100.0,43.88,27.66,62.07,DISAGREE,35.61
Klebsiella pneumoniae,India,2025.0,73.27,70.42,76.13,80.17,71.44,88.24,AGREE,76.72
Klebsiella pneumoniae,India,2026.0,91.67,87.77,95.58,80.08,71.5,88.48,DISAGREE,85.88
Klebsiella pneumoniae,India,2027.0,68.54,64.09,72.99,79.98,71.33,88.44,DISAGREE,74.26
Klebsiella pneumoniae,India,2028.0,86.31,80.84,91.79,79.88,71.82,89.15,AGREE,83.1
Klebsiella pneumoniae,India,2029.0,82.44,76.59,88.28,79.78,71.24,89.27,AGREE,81.11
Klebsiella pneumoniae,India,2030.0,69.45,62.98,75.92,79.69,72.08,88.88,DISAGREE,74.57
Klebsiella pneumoniae,Ireland,2025.0,36.85,3.09,70.6,24.48,10.5,37.35,DISAGREE,30.66
Klebsiella pneumoniae,Ireland,2026.0,36.59,0.0,74.4,24.82,11.52,40.62,DISAGREE,30.7
Klebsiella pneumoniae,Ireland,2027.0,36.64,0.0,77.97,25.15,11.34,38.54,DISAGREE,30.9
Klebsiella pneumoniae,Ireland,2028.0,36.74,0.0,81.33,25.48,12.0,39.08,DISAGREE,31.11
Klebsiella pneumoniae,Ireland,2029.0,36.76,0.0,84.45,25.81,13.82,40.16,DISAGREE,31.28
Klebsiella pneumoniae,Ireland,2030.0,36.74,0.0,87.35,26.14,11.95,39.59,DISAGREE,31.44
Klebsiella pneumoniae,Israel,2025.0,68.11,54.7,81.53,62.14,52.4,72.06,AGREE,65.12
Klebsiella pneumoniae,Israel,2026.0,65.38,48.69,82.07,62.41,52.03,71.88,AGREE,63.9
Klebsiella pneumoniae,Israel,2027.0,66.26,49.54,82.97,62.68,51.76,73.66,AGREE,64.47
Klebsiella pneumoniae,Israel,2028.0,67.15,50.4,83.89,62.96,51.85,74.01,AGREE,65.06
Klebsiella pneumoniae,Israel,2029.0,68.05,51.28,84.83,63.23,53.15,74.71,AGREE,65.64
Klebsiella pneumoniae,Israel,2030.0,68.97,52.17,85.77,63.5,51.83,72.97,AGREE,66.24
Klebsiella pneumoniae,Italy,2025.0,68.58,47.72,89.43,81.31,63.5,98.01,DISAGREE,74.94
Klebsiella pneumoniae,Italy,2026.0,69.02,48.15,89.89,83.66,67.22,98.7,DISAGREE,76.34
Klebsiella pneumoniae,Italy,2027.0,69.38,48.53,90.23,86.01,69.96,100.0,DISAGREE,77.69
Klebsiella pneumoniae,Italy,2028.0,69.66,48.83,90.49,88.36,73.5,100.0,DISAGREE,79.01
Klebsiella pneumoniae,Italy,2029.0,69.89,49.06,90.72,90.72,74.9,100.0,DISAGREE,80.31
Klebsiella pneumoniae,Italy,2030.0,70.08,49.23,90.92,93.07,78.23,100.0,DISAGREE,81.57
Klebsiella pneumoniae,"Korea, South",2025.0,70.45,45.48,95.42,43.89,26.9,60.84,DISAGREE,57.17
Klebsiella pneumoniae,"Korea, South",2026.0,56.46,28.8,84.11,44.82,27.22,61.73,DISAGREE,50.64
Klebsiella pneumoniae,"Korea, South",2027.0,77.67,46.38,100.0,45.76,29.13,62.0,DISAGREE,61.72
Klebsiella pneumoniae,"Korea, South",2028.0,75.09,43.69,100.0,46.69,30.69,64.45,DISAGREE,60.89
Klebsiella pneumoniae,"Korea, South",2029.0,90.72,57.8,100.0,47.63,30.15,66.26,DISAGREE,69.18
Klebsiella pneumoniae,"Korea, South",2030.0,94.89,62.08,100.0,48.57,30.89,66.1,DISAGREE,71.73
Klebsiella pneumoniae,Mexico,2025.0,72.92,41.36,100.0,89.85,74.91,100.0,DISAGREE,81.38
Klebsiella pneumoniae,Mexico,2026.0,74.42,38.25,100.0,92.93,76.63,100.0,DISAGREE,83.68
Klebsiella pneumoniae,Mexico,2027.0,74.42,31.52,100.0,96.0,82.85,100.0,DISAGREE,85.21
Klebsiella pneumoniae,Mexico,2028.0,74.42,25.71,100.0,99.08,83.8,100.0,DISAGREE,86.75
Klebsiella pneumoniae,Mexico,2029.0,74.42,20.53,100.0,100.0,88.11,100.0,DISAGREE,87.21
Klebsiella pneumoniae,Mexico,2030.0,74.42,15.8,100.0,100.0,90.3,100.0,DISAGREE,87.21
Klebsiella pneumoniae,Poland,2025.0,73.75,67.49,80.01,83.21,72.51,93.47,AGREE,78.48
Klebsiella pneumoniae,Poland,2026.0,80.44,73.38,87.49,83.94,72.02,95.01,AGREE,82.19
Klebsiella pneumoniae,Poland,2027.0,86.87,79.08,94.66,84.67,74.2,95.92,AGREE,85.77
Klebsiella pneumoniae,Poland,2028.0,75.52,66.24,84.8,85.41,75.34,95.67,AGREE,80.46
Klebsiella pneumoniae,Poland,2029.0,79.94,70.02,89.85,86.14,75.3,97.3,AGREE,83.04
Klebsiella pneumoniae,Poland,2030.0,85.79,75.32,96.26,86.87,76.35,97.63,AGREE,86.33
Klebsiella pneumoniae,Portugal,2025.0,67.97,45.72,90.22,65.2,51.22,79.09,AGREE,66.59
Klebsiella pneumoniae,Portugal,2026.0,64.93,34.11,95.75,66.7,52.55,80.73,AGREE,65.82
Klebsiella pneumoniae,Portugal,2027.0,64.93,31.72,98.14,68.19,53.54,82.74,AGREE,66.56
Klebsiella pneumoniae,Portugal,2028.0,64.93,29.5,100.0,69.69,55.64,83.76,AGREE,67.31
